Annexure II-  CNX Nifty Jr. Index : Sept. 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Sept. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sept. 2011,
12,COALINDIA,Coal India Ltd.,MINING,63163644000,21046.1262,7.144431765,0.577017611,0.12,2.244627825,-11.2886049,0.08,
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6548.7001,2.223057135,0.489591997,0.14,1.720689851,3.333158088,0.11,
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4650.5141,1.578688655,0.513764008,0.13,2.036634567,3.718765049,0.25,
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,5779.0887,1.961800689,0.953348675,0.22,2.102905431,1.396276596,0.11,
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5627.3311,1.910284234,0.562598086,0.20,1.909396102,-2.023650999,0.16,
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5949.2238,2.01955567,0.645464058,0.13,2.107875059,-13.34002006,0.11,
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6304.0087,2.13999287,1.13356766,0.43,2.33473079,-0.781460523,0.13,
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3012.0519,1.02248742,1.353339168,0.43,2.824820319,0.371057514,0.13,
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8737.3528,2.966029011,0.249494045,0.06,0.940086161,-1.349311191,0.16,
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270352753,4513.7218,1.532252401,0.819911346,0.15,0.974949338,-0.965961362,0.09,
22,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6068.2521,2.05996166,0.671399021,0.17,1.755033408,-1.847636899,0.08,
23,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,2497.5098,0.847818177,2.018649765,0.52,3.597190974,-4.111600587,0.1,
24,IDBI,IDBI Bank Ltd.,BANKS,9845646550,3520.6422,1.195136232,1.393176909,0.62,2.102744399,-7.194570136,0.09,
25,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,2074.9913,0.704387763,1.739677736,0.57,2.452843368,-18.56763926,0.11,
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3598.9432,1.221716713,0.927551512,0.36,1.392419123,-1.040221914,0.12,
27,IOB,Indian Overseas Bank ,BANKS,6187493430,1955.7137,0.663897144,1.317027338,0.49,1.720898433,-15.81818182,0.1,
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4664569200,9350.9486,3.174323559,1.243941439,0.41,2.303469304,6.346309813,0.17,
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6274.7161,2.130049045,1.617585328,0.47,3.300442764,-12.71011501,0.08,
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6372.3232,2.163183279,1.537004862,0.42,2.006268783,-0.047247815,0.08,
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892869262,11231.0875,3.812565673,0.82614925,0.28,1.78472901,5.704735376,0.09,
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100325140,2520.6146,0.855661457,0.881259219,0.13,2.400748589,-2.86804182,0.14,
33,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,SHIPPING,4006788200,7409.8155,2.515376024,1.011027071,0.26,2.535756572,8.0539119,0.12,
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419682010,3123.6742,1.060379329,0.686095766,0.23,1.966987173,4.647577093,0.14,
35,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,268040676,691.0826,0.234598635,0.563434327,0.11,2.542824601,-0.241754447,0.14,
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5203.052,1.766256157,1.291199027,0.39,2.970670514,3.057368602,0.11,
37,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1128.9157,0.383227826,2.019986898,0.54,3.086192406,-7.283633248,0.12,
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5701.3495,1.93541092,1.501561037,0.47,2.71959491,-0.40091638,0.1,
39,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261840680,8133.4418,2.761022119,0.861902266,0.18,2.337442121,-3.269625652,0.13,
40,SYNDIBANK,Syndicate Bank,BANKS,5732856710,1820.8754,0.618124206,1.478125177,0.55,2.33552031,2.765432099,0.13,
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5551.294,1.884472269,0.88133953,0.37,1.300599687,-5.556385362,0.1,
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1270327860,2108.102,0.7156277,1.124964276,0.36,2.869428875,-11.50585697,0.13,
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,8661.3724,2.940236294,1.125095643,0.32,2.9886472,1.579970831,0.1,
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3785.4862,1.285041608,0.590464894,0.13,3.000047658,-0.267439269,0.22,
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740504780,11153.3486,3.786176005,0.572413763,0.19,1.563650932,6.671650159,0.13,
46,UNIONBANK,Union Bank of India,BANKS,5243324150,5508.6357,1.869991252,1.174751776,0.43,2.469779559,0.886415172,0.11,
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4670.782,1.585568906,1.058292084,0.30,2.410350533,-5.360824742,0.12,
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,7017.5484,2.382214913,1.149072324,0.35,2.279196391,-11.32716737,0.13,
49,YESBANK,Yes Bank Ltd.,BANKS,3503207890,6560.1874,2.226956676,1.528416729,0.56,2.37659595,-1.801477211,0.09,
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,978142930,6578.5173,2.233179043,0.627408779,0.16,2.005138173,1.818969251,0.11,
,,,,,294580.8273,100,,,,,0.12,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2010 to 30-Sept-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sept-2011 to 30-Sept-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 30-Sept-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,,
