Annexure II- S&P CNX Nifty Index : September 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September. 2011,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2011 to 30-Sep-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 30-Sep-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,,
