Annexure II-  CNX Nifty Jr. Index : April 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr 2013
30,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,20198.5215,5.97,1.58,0.14,2.7,16.42,0.06
31,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101249970,2746.5999,0.81,0.46,0.06,1.62,-4.46,0.13
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420311390,4337.184,1.28,0.68,0.14,1.96,2.35,0.11
33,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4186.5002,1.24,0.57,0.09,1.24,2.99,0.07
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200150110,6760.3485,2,1.6,0.35,1.93,7.83,0.08
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,6430.8717,1.9,2.75,0.52,5.24,75.32,0.09
36,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7357.0031,2.17,1.68,0.38,1.82,7.65,0.08
37,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3974.8779,1.17,2.34,0.63,2.67,12.84,0.07
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5003.6443,1.48,2.19,0.61,2.56,16.02,0.09
39,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,3611.6822,1.07,1.22,0.31,2.31,-1.44,0.07
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,710989492,4909.7302,1.45,1.07,0.29,2.68,-0.46,0.09
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268639360,12550.3144,3.71,1,0.23,2.54,7.34,0.1
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5687.794,1.68,0.63,0.19,1,0.7,0.09
43,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5900.5353,1.74,1.18,0.25,1.83,15.17,0.09
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1279643380,6402.2743,1.89,0.45,0.05,1.83,-10.03,0.07
45,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,11282.189,3.33,0.99,0.18,2.53,5.58,0.09
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4891.6082,1.45,0.61,0.02,2.17,5.03,0.08
47,UNIONBANK,Union Bank of India,BANKS,5967942090,6152.6688,1.82,2,0.48,2.76,12.29,0.09
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,4444.0028,1.31,0.89,0.16,1.77,20.23,0.09
49,YESBANK,Yes Bank Ltd.,BANKS,3584668890,13343.4043,3.94,1.32,0.41,1.74,16.96,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,953957720,12636.4946,3.74,0.88,0.14,2.25,11.14,0.09
,,,,,338308.3739,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2012 to 30-Apr-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aper-2013 to 30-Apr-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
