Annexure II- S&P CNX Nifty Index : March 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for March 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2009
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,128,115,150"," 37,034 ",1.96%,1.64 ,0.74 ,5.28 ,1.60 ,0.08
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 15,531 ",0.82%,1.09 ,0.50 ,3.33 ,6.60 ,0.14
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,864,150,215"," 75,837 ",4.01%,0.70 ,0.41 ,2.26 ,7.52 ,0.06
22,ITC,I T C Ltd.,CIGARETTES,"3,774,399,560"," 69,770 ",3.69%,0.53 ,0.36 ,2.67 ,0.98 ,0.09
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,171,154,648"," 39,316 ",2.08%,1.12 ,0.67 ,3.51 ,9.39 ,0.08
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 10,697 ",0.57%,0.98 ,0.40 ,3.07 ,23.08 ,0.09
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 22,531 ",1.19%,0.72 ,0.37 ,2.44 ,15.14 ,0.07
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280"," 13,830 ",0.73%,0.98 ,0.32 ,3.16 ,3.07 ,0.15
27,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 148,295 ",7.84%,0.79 ,0.56 ,2.04 ,(2.78),0.09
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 166,875 ",8.82%,0.85 ,0.55 ,2.78 ,12.91 ,0.10
29,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 12,973 ",0.69%,0.96 ,0.52 ,5.08 ,21.88 ,0.09
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 40,237 ",2.13%,0.82 ,0.48 ,1.89 ,(1.34),0.11
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765"," 6,966 ",0.37%,0.70 ,0.18 ,4.36 ,2.41 ,0.07
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 36,090 ",1.91%,1.50 ,0.59 ,4.62 ,12.48 ,0.08
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 8,682 ",0.46%,1.56 ,0.64 ,5.93 ,0.26 ,0.06
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,737,980,330"," 239,965 ",12.68%,1.25 ,0.74 ,3.34 ,20.43 ,0.05
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,277,702,620"," 11,743 ",0.62%,1.79 ,0.74 ,5.03 ,4.99 ,0.06
36,RPL,Reliance Petroleum Ltd.,REFINERIES,"45,000,000,000"," 42,795 ",2.26%,1.03 ,0.64 ,3.09 ,24.56 ,0.08
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 24,531 ",1.30%,1.04 ,0.25 ,3.34 ,2.40 ,0.09
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 39,838 ",2.10%,1.28 ,0.55 ,4.67 ,26.82 ,0.09
39,SBIN,State Bank of India,BANKS,"6,348,802,220"," 67,748 ",3.58%,1.10 ,0.64 ,3.86 ,4.08 ,0.06
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 9,039 ",0.48%,0.99 ,0.41 ,3.63 ,23.07 ,0.09
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700"," 25,335 ",1.34%,1.34 ,0.53 ,3.66 ,46.05 ,0.07
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 23,020 ",1.22%,0.28 ,0.08 ,2.36 ,9.23 ,0.07
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800"," 6,345 ",0.34%,1.55 ,0.49 ,4.16 ,4.18 ,0.09
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 14,773 ",0.78%,1.03 ,0.45 ,3.20 ,28.19 ,0.11
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 8,112 ",0.43%,1.15 ,0.50 ,5.15 ,20.76 ,0.07
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,214,244,430"," 17,019 ",0.90%,1.03 ,0.52 ,3.86 ,5.74 ,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270"," 15,047 ",0.80%,1.44 ,0.62 ,5.49 ,19.16 ,0.07
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"978,610,498"," 52,703 ",2.78%,0.90 ,0.44 ,3.88 ,11.48 ,0.09
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"3,246,750,000"," 5,666 ",0.30%,1.68 ,0.42 ,5.31 ,23.54 ,0.12
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,927,930,736"," 35,999 ",1.90%,0.99 ,0.52 ,2.70 ,18.51 ,0.08
,,,,,,,,,,,
,,,,," 1,892,629 ",100.00%,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-April-2008 to 31-March-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-March-2009 to 31-March-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 31-March-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
