Annexure II-  CNX Nifty Jr. Index : Aug 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug 2012
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9183.71,3.21,1.14,0.31,1.24,-0.72,0.07
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2507.12,0.88,0.72,0.21,1.23,-6.79,0.15
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740848570,16555.35,5.79,0.6,0.24,0.81,3.31,0.07
46,UNIONBANK,Union Bank of India,BANKS,5505490350,3528.72,1.23,1.43,0.44,1.58,-6.59,0.08
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,3958.44,1.39,0.81,0.18,1.65,-0.25,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,8819.23,3.09,1.4,0.21,3.68,19.77,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3548772640,8626.23,3.02,1.57,0.59,1.16,-9.98,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,955116027,8762.55,3.07,0.71,0.19,1.59,-2.94,0.08
,,,,,285739.7,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2011 to 31-Aug-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2012 to 31-Aug-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Aug-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
