Annexure II- S&P CNX Nifty Index : August 2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 2012,,
12,COALINDIA,Coal India Ltd.,MINING,63163644000,22198.86268,1.35,0.65,0.19,1.3,-2.2,0.04,,
13,DLF,DLF Ltd.,CONSTRUCTION,3396863846,7092.520889,0.43,1.67,0.51,2.32,-6.7,0.05,,
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849039565,21203.1977,1.29,0.32,0.1,0.74,3.88,0.05,,
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,15948.24487,0.97,0.62,0.2,1.61,0.34,0.06,,
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917218370,18982.4164,1.15,0.7,0.29,0.7,4.17,0.05,,
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1386566952,14250.26678,0.87,0.87,0.29,0.82,4.99,0.05,,
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3007460010,110569.2673,6.72,0.9,0.51,1.58,6.39,0.04,,
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4715219150,107996.7131,6.56,0.95,0.56,0.77,1.29,0.05,,
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,16823.96703,1.02,0.65,0.17,1.35,-12.07,0.04,,
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914542308,13357.21737,0.81,1.6,0.5,1.58,-13.53,0.07,,
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161794134,52897.94575,3.22,0.34,0.08,1.19,10.22,0.04,,
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11526728510,103988.3813,6.32,1.61,0.72,1.3,-6.16,0.05,,
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15133197120,16513.87989,1,1.59,0.54,2.19,-0.37,0.06,,
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871152255,113865.8054,6.92,0.89,0.33,1.11,6.05,0.04,,
26,ITC,I T C Ltd.,CIGARETTES,7833063000,144982.2772,8.81,0.52,0.2,1.08,3.68,0.06,,
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,13507.44322,0.82,1.46,0.46,2.06,-11.66,0.06,,
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,7312.785893,0.44,1.96,0.52,2.85,-12.06,0.07,,
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3713733585,21478.78559,1.31,1.16,0.48,1.49,7.16,0.06,,
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1225558922,72298.40105,4.39,1.32,0.51,1.21,-1.94,0.06,,
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069903780,34930.54204,2.12,0.92,0.36,1.43,8.89,0.05,,
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,15124.90178,0.92,0.72,0.17,1,0.74,0.05,,
33,NTPC,NTPC Ltd.,POWER,82454644000,21478.54949,1.31,0.78,0.33,1.44,7.04,0.06,,
34,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,48818.31988,2.97,0.68,0.25,1.21,-3.55,0.07,,
35,PNB,Punjab National Bank,BANKS,3391786830,9002.252378,0.55,1.06,0.37,1.43,-6.95,0.06,,
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,16910.54327,1.03,0.65,0.31,1.32,0.42,0.06,,
37,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2111324745,8466.199072,0.51,0.56,0.13,1.71,10.89,0.06,,
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32546039640,127322.4983,7.74,1.22,0.57,1.65,3.07,0.06,,
39,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,6011.473358,0.37,1.67,0.47,1.82,-10.22,0.06,,
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4581.241682,0.28,1.48,0.51,1.73,-8.86,0.07,,
41,SBIN,State Bank of India,BANKS,6710448380,47365.52543,2.88,1.33,0.51,1.59,-8.37,0.05,,
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,6686.336305,0.41,1.36,0.39,2,-9.86,0.07,,
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680590050,5768.426043,0.35,0.95,0.42,0.84,-0.48,0.07,,
44,STER,Sterlite Industries (India) Ltd.,METALS,3361690676,13499.36328,0.82,1.79,0.57,2.39,-10.18,0.07,,
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,25115.37485,1.53,0.45,0.14,0.9,2.26,0.06,,
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5415462482,41418.96435,2.52,1.61,0.48,1.99,3.56,0.05,,
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,16114.36412,0.98,1.08,0.32,1.53,1.27,0.08,,
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712144500,24094.53335,1.46,1.43,0.53,1.37,-12.8,0.04,,
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,68434.58687,4.16,0.74,0.24,1.32,8.05,0.06,,
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4922118860,18767.8254,1.14,0.67,0.22,1.14,6.63,0.06,,
,,,,,1645120.441,,,,,,0.05,,
,,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2011 to 31-Aug-2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,,
,,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2012 to 31-Aug-2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Last day of trading was 31-Aug-2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,,,
