Annexure II-  CNX Nifty Jr. Index : September 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 2012
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1276149210,3624.49,1.19,0.71,0.17,1.29,21.72,0.05
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10884.17,3.59,1.08,0.28,1.3,18.52,0.09
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2972.88,0.98,0.67,0.15,3.67,18.58,0.14
46,UNIONBANK,Union Bank of India,BANKS,5505490350,4679.07,1.54,1.53,0.45,2.7,32.6,0.1
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,4357.26,1.44,0.8,0.17,1.57,10.08,0.1
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,11066.47,3.65,1.46,0.2,4.09,25.48,0.07
49,YESBANK,Yes Bank Ltd.,BANKS,3553626990,10038.51,3.31,1.58,0.56,2.14,16.21,0.06
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,955116027,10472.71,3.45,0.7,0.17,2.36,19.52,0.1
,,,,,303452.46,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2011 to 28-Sep-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2012 to 28-Sep-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Sep-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
