Annexure II- S&P CNX Nifty Index : May 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for May 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2009
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,845,034,520"," 62,010 ",2.22%,1.26 ,0.66 ,6.65 ,26.21 ,0.19
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,254,545,300"," 61,457 ",2.20%,1.00 ,0.64 ,4.31 ,31.28 ,0.18
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 26,701 ",0.96%,0.48 ,0.26 ,5.81 ,13.06 ,0.21
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 14,395 ",0.52%,1.12 ,0.53 ,4.81 ,57.49 ,0.17
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,179,876,077"," 50,312 ",1.80%,0.41 ,0.28 ,2.21 ,(1.68),0.09
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,128,143,390"," 82,365 ",2.95%,1.60 ,0.74 ,7.02 ,54.46 ,0.19
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 26,087 ",0.94%,1.11 ,0.56 ,5.86 ,44.96 ,0.16
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,864,150,215"," 91,945 ",3.30%,0.70 ,0.44 ,4.84 ,6.35 ,0.14
22,ITC,I T C Ltd.,CIGARETTES,"3,774,399,560"," 69,317 ",2.48%,0.52 ,0.38 ,3.67 ,(2.78),0.19
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,171,394,824"," 82,126 ",2.94%,1.18 ,0.72 ,6.72 ,59.46 ,0.22
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 18,650 ",0.67%,1.06 ,0.48 ,6.39 ,37.08 ,0.17
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 29,674 ",1.06%,0.69 ,0.38 ,3.87 ,26.18 ,0.11
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280"," 22,815 ",0.82%,0.92 ,0.32 ,4.91 ,67.98 ,0.26
27,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 177,607 ",6.37%,0.74 ,0.56 ,3.06 ,13.37 ,0.12
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 250,088 ",8.96%,0.88 ,0.59 ,5.02 ,35.21 ,0.17
29,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 21,150 ",0.76%,0.92 ,0.53 ,3.84 ,40.36 ,0.11
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 48,381 ",1.73%,0.83 ,0.52 ,4.32 ,24.14 ,0.15
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765"," 11,724 ",0.42%,0.74 ,0.21 ,6.83 ,68.01 ,0.16
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 63,087 ",2.26%,1.49 ,0.64 ,7.00 ,42.30 ,0.15
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 23,150 ",0.83%,1.57 ,0.64 ,8.61 ,79.69 ,0.10
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,738,002,880"," 357,552 ",12.82%,1.23 ,0.77 ,5.55 ,25.78 ,0.15
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,264,237,670"," 28,801 ",1.03%,1.71 ,0.74 ,6.32 ,82.97 ,0.12
36,RPL,Reliance Petroleum Ltd.,REFINERIES,"45,000,000,000"," 64,980 ",2.33%,1.02 ,0.71 ,4.64 ,29.27 ,0.13
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 43,358 ",1.55%,1.09 ,0.61 ,5.71 ,46.72 ,0.17
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 71,332 ",2.56%,1.27 ,0.59 ,6.07 ,58.15 ,0.18
39,SBIN,State Bank of India,BANKS,"6,348,802,220"," 118,650 ",4.25%,1.11 ,0.66 ,5.85 ,46.16 ,0.16
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 16,514 ",0.59%,1.01 ,0.45 ,5.04 ,58.97 ,0.18
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700"," 44,188 ",1.58%,1.36 ,0.58 ,6.64 ,52.10 ,0.15
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 25,139 ",0.90%,0.41 ,0.15 ,6.64 ,(5.06),0.25
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800"," 14,668 ",0.53%,1.56 ,0.52 ,6.43 ,53.93 ,0.15
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 13,332 ",0.48%,0.95 ,0.45 ,4.81 ,(14.71),0.23
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 15,156 ",0.54%,1.16 ,0.49 ,6.10 ,38.17 ,0.14
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,217,364,760"," 23,736 ",0.85%,0.97 ,0.53 ,3.74 ,19.36 ,0.13
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270"," 29,622 ",1.06%,1.40 ,0.61 ,6.00 ,70.24 ,0.13
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"978,610,498"," 68,953 ",2.47%,0.90 ,0.50 ,5.17 ,12.99 ,0.14
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,088,879,870"," 16,274 ",0.58%,1.67 ,0.44 ,7.89 ,80.70 ,0.15
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,930,425,146"," 56,008 ",2.01%,0.94 ,0.52 ,4.69 ,15.54 ,0.22
,,,,,,,,,,,
,,,,," 2,789,789 ",100.00%,,,,,0.15
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2008 to 31-May-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2009 to 31-May-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 29-May-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
