Annexure II-  CNX Nifty Jr. Index : Feb 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Feb. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb. 2011
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9228.54,3.22,0.42,0.13,0.64,-3.33,0.19
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270210003,3509.06,1.22,0.66,0.12,2.5,-18.18,0.1
22,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916966890,14322.12,5,0.53,0.09,1.56,-1.14,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5302.58,1.85,0.63,0.10,2.11,-10.8,0.12
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,3807.24,1.33,1.88,0.51,4.33,20.28,0.11
25,IDBI,IDBI Bank Ltd.,BANKS,9844808630,4522.01,1.58,1.45,0.56,2.54,-7.05,0.1
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3379.46,1.18,1.58,0.47,3,-5.84,0.11
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,804484478,3217.23,1.12,1.91,0.52,3.08,-13.6,0.13
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3957.07,1.38,0.96,0.30,3,-12.74,0.12
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2814.24,0.98,1.36,0.45,2.85,2.42,0.11
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,9224.29,3.22,1.71,0.53,3.45,-3.89,0.11
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,5664.45,1.98,1.55,0.36,2.93,4.56,0.09
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892210410,9010.89,3.14,0.74,0.22,2.71,-9.65,0.1
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1138.52,0.4,1.18,0.43,3.16,-15.58,0.13
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2099483150,3160.31,1.1,0.51,0.05,6.4,-36.04,0.11
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6221.81,2.17,1.09,0.30,2.83,-1.81,0.16
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419466385,3361.17,1.17,0.51,0.17,1.77,-10.52,0.14
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,263302660,2177.87,0.76,0.4,0.04,0.34,-4.1,0.05
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,2911.8,1.02,1.04,0.34,2.64,1.22,0.12
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1251.29,0.44,1.58,0.41,4.67,-36.49,0.11
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7725.84,2.69,1.19,0.33,3.46,-3.28,0.1
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261606680,9903.41,3.45,0.65,0.11,1.42,8.6,0.11
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,2001.12,0.7,1.39,0.46,2.64,7.27,0.1
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5629.37,1.96,0.96,0.28,2.14,-8.37,0.12
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1258496460,2212.94,0.77,1.08,0.33,3.43,-0.88,0.11
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3895.46,1.36,0.59,0.13,2.68,2.27,0.19
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740346780,9092.46,3.17,0.55,0.13,1.97,-7.18,0.15
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7068.7,2.47,1.15,0.42,2.18,-4.88,0.12
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4614.81,1.61,1.17,0.30,2.99,-0.04,0.13
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,9569.39,3.34,1.31,0.38,4.95,-10.85,0.13
50,YESBANK,Yes Bank Ltd.,BANKS,3467846300,6088.76,2.12,1.38,0.45,2.93,-2.7,0.09
,,,,,286687.06,,,,,,0.13
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2010 to 28-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2011 to 28-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
