Annexure II-  CNX Nifty Jr. Index : Jan 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan 2011
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7988.12,2.65,1.14,0.29,2.68,-18.54,0.09
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261606680,9101.6,3.02,0.79,0.13,1.89,-12.07,0.11
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,1865.5,0.62,1.41,0.45,2.8,-16.78,0.11
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6133.3,2.03,0.99,0.28,1.91,-10.93,0.11
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1257789660,2225.27,0.74,0.91,0.26,1.87,-7.32,0.11
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3809.17,1.26,0.53,0.11,1.21,-18.54,0.16
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740330480,9867.81,3.27,0.54,0.12,1.82,-7.51,0.17
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7431.14,2.46,1.15,0.4,2.24,-4.9,0.1
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4537.52,1.5,1.09,0.26,2,-21.31,0.1
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,10306.9,3.42,1.12,0.37,2.21,-15.16,0.11
50,YESBANK,Yes Bank Ltd.,BANKS,3466231550,6241.95,2.07,1.38,0.42,3.08,-15.89,0.09
,,,,,301628.2,100,,,,,0.11
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2010 to 31-Jan-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jan-2011 to 31-Jan-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31Jan-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
