Annexure II- S&P CNX Nifty Index : Jan 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan 2011
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,39721,2.42,0.62,0.18,1.83,-8.9,0.06
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,13669,0.83,0.47,0.15,0.89,-1.78,0.05
32,PNB,Punjab National Bank,BANKS,3153025000,14696,0.9,0.86,0.37,1.67,-9.67,0.1
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2105203465,8290,0.51,0.91,0.29,1.75,-9.4,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5915,0.36,1.25,0.43,2.33,-23.27,0.08
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8172,0.5,1.14,0.22,2,-17.27,0.09
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32889351020,155660,9.49,1.10,0.53,1.46,-12.91,0.07
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,9921,0.6,1.13,0.31,2.69,-17.97,0.08
38,RPOWER,Reliance Power Ltd.,POWER,28050826060,7419,0.45,1.01,0.26,1.96,-15.03,0.08
39,SESAGOA,Sesa Goa Ltd.,MINING,859702559,12411,0.76,1.36,0.3,2.29,-4.12,0.07
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,12905,0.79,0.77,0.19,4.11,2.92,0.08
41,SBIN,State Bank of India,BANKS,6349981150,68119,4.15,1.14,0.42,2.1,-6.37,0.05
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,9424,0.57,1.39,0.47,2.47,-14.39,0.07
43,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,26016,1.59,1.65,0.49,3.07,-14.72,0.09
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,16565,1.01,0.50,0.11,1.82,-9.53,0.1
45,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3554731294,3675,0.22,1.32,0.29,3.63,-8.86,0.09
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,58979,3.59,0.84,0.29,2.01,0.13,0.08
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5368242440,38780,2.36,1.45,0.41,2.34,-12.34,0.07
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,20116,1.23,0.65,0.26,1.03,-9.58,0.09
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9023890170,38977,2.38,1.48,0.53,1.7,-9.14,0.05
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4907136548,22113,1.35,0.86,0.3,1.73,-9.31,0.07
,,,,,1640918,,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2010 to 31-Jan-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 03-Jan-2011 to 31-Jan-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
