Annexure II- S&P CNX Nifty Index : January 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for January 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost January 2010
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,935,144,164"," 19,319 ",1.28%,0.80 ,0.38 ,2.71 ,(4.71),0.07
,,,,," 1,508,020 ",100.00%,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-February-2009 to 31-January-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-January 2010 to 31-January 2010,,,,,,,,
,,,,,,,,
* Last day of trading was 29-January 2010,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
