Annexure II- CNX Nifty Index : June 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2013
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,120482,6.41,0.69,0.07,1.79,3.61,0.06
27,ITC,I T C Ltd.,CIGARETTES,7901833110,178028,9.47,0.69,0.19,1.08,-4.57,0.05
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,8319,0.44,1.65,0.3,5.02,-23.55,0.08
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4438167118,6572,0.35,2.22,0.45,3.59,-18.35,0.08
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3834502285,28051,1.49,0.98,0.33,2.12,-7.76,0.08
31,LT,Larsen & Toubro Ltd.,ENGINEERING,1231649620,76219,4.06,1.44,0.52,1.69,0.51,0.05
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,895427736,18601,0.99,0.5,0.09,1.55,5.93,0.06
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069903780,44584,2.37,1.01,0.3,2.47,0.32,0.07
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,20343,1.08,0.83,0.16,1.62,-4.23,0.06
35,NMDC,NMDC Ltd.,MINING,3964716000,8360,0.44,0.99,0.24,1.99,-10.33,0.07
36,NTPC,NTPC Ltd.,POWER,82454644000,29632,1.58,0.64,0.17,1.72,-6.78,0.06
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,58586,3.12,0.99,0.26,2.32,0.98,0.07
38,PNB,Punjab National Bank,BANKS,3534733960,9691,0.52,1.44,0.37,1.98,-14.37,0.07
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,15757,0.84,0.66,0.18,1.84,-1.77,0.06
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2115504945,4770,0.25,0.81,0.14,2.52,-17.66,0.07
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,32293268730,141607,7.53,1.2,0.45,1.91,6.98,0.06
42,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,4727,0.25,2.12,0.5,2.89,-3.36,0.06
43,SBIN,State Bank of India,BANKS,6840339710,50368,2.68,1.3,0.42,1.25,-4.54,0.04
44,SESAGOA,Sesa Goa Ltd.,MINING,869101423,5569,0.3,1.47,0.39,2.11,-12.87,0.09
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,38045,2.02,0.49,0.09,1.85,-3.12,0.06
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5439891692,49953,2.66,1.35,0.31,2.01,-10.21,0.05
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,13830,0.74,0.95,0.26,2.47,-3.47,0.07
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712152290,18251,0.97,1.4,0.45,2.36,-6.17,0.06
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,77376,4.12,0.41,0.07,1.74,1.31,0.06
50,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2741819730,19037,1.01,0.64,0.14,1.95,-0.07,0.08
,,,,,1879484,100,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2012 to 28-Jun-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2013 to 28-Jun-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Jun-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
