Annexure II-  CNX Nifty Index : July 2014

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2014
40,RELIANCE,Reliance Industries Ltd.,REFINERIES,32327144620,165552.80,6.37,1.12,0.52,1.61,-0.88,0.06
41,SBIN,State Bank of India,BANKS,7465730920,75400.48,2.90,1.28,0.40,1.87,-9.19,0.05
42,SSLT,Sesa Sterlite Ltd.,MINING,2964674487,35876.00,1.38,1.15,0.17,1.72,-0.72,0.07
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,59544.17,2.29,0.52,0.10,1.25,14.97,0.05
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473426244,80287.93,3.09,1.07,0.30,2.07,3.58,0.06
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2704625254,17702.77,0.68,1.17,0.24,2.27,-9.32,0.09
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154050,36895.26,1.42,1.29,0.29,1.96,4.73,0.06
47,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,131919.60,5.08,0.44,0.07,1.50,6.38,0.06
48,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2343884140,32112.60,1.24,0.25,0.02,1.15,-0.07,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2743575290,24751.61,0.95,1.02,0.33,1.53,-6.60,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4934471096,35633.04,1.37,0.27,0.03,1.75,-0.37,0.06
,,,,,2597516.66,,,,,,0.07
,,,,,,,,,,,
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2013 to 31-Jul-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2014 to 31-Jul-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
