Annexure II- CNX Nifty Jr. Index : July 2014

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2014
19,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,7805.26,1.74,1.30,0.31,2.23,-8.29,0.12
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5639.84,1.26,0.71,0.18,1.40,7.94,0.13
21,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,7258.46,1.62,1.20,0.24,2.41,-7.48,0.09
22,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6097.89,1.36,0.70,0.18,2.02,0.97,0.10
23,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6160.19,1.38,0.82,0.20,1.80,-11.14,0.09
24,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,14214.22,3.17,0.90,0.18,2.05,-3.40,0.09
25,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1897179530,6576.34,1.47,1.00,0.29,1.55,-6.25,0.14
26,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,15894.86,3.55,0.72,0.14,1.70,-0.94,0.10
27,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9729.31,2.17,0.58,0.11,2.81,9.85,0.13
28,BANKINDIA,Bank of India,BANKS,6422630130,5871.43,1.31,2.15,0.40,2.64,-8.97,0.09
29,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15101.00,3.37,1.12,0.20,2.19,-0.55,0.12
30,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271230003,9248.08,2.07,0.12,0.00,2.58,15.65,0.10
31,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340425914,10500.30,2.34,0.46,0.06,1.33,1.98,0.09
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420754520,6992.02,1.56,0.30,0.06,1.80,5.84,0.11
33,UNIONBANK,Union Bank of India,BANKS,6303062730,4806.77,1.07,2.11,0.41,2.53,-20.59,0.10
34,CANBK,Canara Bank,BANKS,4612588370,5715.71,1.28,1.98,0.41,2.11,-13.56,0.10
35,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,9387.58,2.10,0.36,0.06,1.65,1.15,0.10
36,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,9893.50,2.21,0.66,0.07,2.08,-3.69,0.10
37,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5479.50,1.22,0.64,0.12,2.12,3.90,0.10
38,YESBANK,Yes Bank Ltd.,BANKS,4147103730,17450.52,3.90,2.39,0.47,1.99,0.01,0.07
39,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12011565390,13545.57,3.03,1.58,0.38,2.58,-7.69,0.10
40,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6406.26,1.43,0.90,0.13,2.14,-16.59,0.09
41,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,9636.06,2.15,1.84,0.33,3.84,-12.62,0.09
42,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35440598780,16204.74,3.62,0.87,0.17,1.86,18.42,0.07
43,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,13483.80,3.01,1.12,0.17,3.99,6.91,0.11
44,RPOWER,Reliance Power Ltd.,POWER,28051264660,6491.01,1.45,1.37,0.39,2.57,-14.63,0.10
45,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,10382.30,2.32,1.56,0.34,3.65,-14.83,0.10
46,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,7949.39,1.78,0.34,0.05,2.45,1.89,0.19
47,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,5640.95,1.26,0.56,0.14,1.20,1.02,0.13
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4693.89,1.05,0.77,0.12,0.99,0.95,0.08
49,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,7966.67,1.78,0.98,0.26,0.91,-3.85,0.06
50,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18900400090,8815.75,1.97,0.44,0.06,1.57,0.16,0.13
,,,,,447780.40,,,,,,0.10
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2013 to 31-Jul-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2014 to 31-Jul-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
