Annexure II- S&P CNX Nifty Index : Apr  2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2011
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,13218.51,0.76,0.6,0.14,2.59,-1.63,0.06
42,SBIN,State Bank of India,BANKS,6349989910,72300.11,4.18,1.14,0.46,1.44,1.42,0.04
43,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,9330.38,0.54,1.17,0.43,1.67,-6.07,0.06
44,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,25832.08,1.49,1.44,0.45,1.55,4.63,0.07
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,17500.63,1.01,0.57,0.17,1.29,5.25,0.06
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,59195.24,3.42,0.94,0.36,2.11,-1.54,0.06
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5372168700,43234.47,2.5,1.44,0.46,1.82,-0.92,0.05
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,21108.67,1.22,0.59,0.26,0.92,-2.3,0.08
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,40528.98,2.34,1.29,0.53,1.23,-0.92,0.05
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4908687068,22795.11,1.32,0.87,0.33,1.94,-6.23,0.07
,,,,,1729683.86,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2010 to 29-Apr-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2011 to 29-Apr-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Apr-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
