Annexure II-  CNX Nifty Jr. Index : Apr 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Apr. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr. 2011
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5494.78,1.63,0.51,0.13,2.15,-4.57,0.17
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,9557.5,2.84,0.86,0.24,2.89,-7.53,0.1
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,6862.68,2.04,0.53,0.15,1.32,1.35,0.13
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7014.21,2.08,0.65,0.12,2.19,6.52,0.09
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7190.03,2.13,1.09,0.36,1.64,0.33,0.1
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,4301.15,1.28,1.36,0.42,2.52,-6.79,0.12
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9433.71,2.8,0.39,0.10,1.2,9.44,0.11
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270272053,4180.28,1.24,0.76,0.14,1.59,5.5,0.09
22,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6170.07,1.83,0.7,0.13,1.96,4.53,0.08
23,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,3882.06,1.15,1.94,0.51,3.39,-9.02,0.08
24,IDBI,IDBI Bank Ltd.,BANKS,9845180930,4923.77,1.46,1.42,0.57,1.74,0.7,0.07
25,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3511.26,1.04,1.59,0.49,1.96,-1.24,0.07
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,4161.36,1.23,0.98,0.32,2.23,-1.79,0.11
27,IOB,Indian Overseas Bank ,BANKS,5448000000,3221.85,0.96,1.32,0.45,1.85,6.08,0.09
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4657738350,9005.96,2.67,1.12,0.28,1.4,-1.44,0.1
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,10049.42,2.98,1.74,0.55,1.93,3.48,0.06
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6604.26,1.96,1.59,0.40,2.05,-3.03,0.07
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892402378,10423.15,3.09,0.78,0.25,1.09,5.81,0.06
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2099693050,3428.71,1.02,0.57,0.06,1.26,12.73,0.08
33,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6512.61,1.93,1.06,0.29,2.64,5.71,0.11
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419474010,3317.57,0.98,0.54,0.17,2.03,1.75,0.12
35,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,266815490,2091.67,0.62,0.42,0.05,1.62,-10.79,0.04
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,2717.05,0.81,1.07,0.35,2.18,-7.34,0.09
37,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1391.13,0.41,1.68,0.45,2.88,3.09,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7822.55,2.32,1.32,0.38,1.91,-5.95,0.08
39,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261606680,10289.83,3.05,0.66,0.13,1.19,-2.65,0.08
40,SYNDIBANK,Syndicate Bank,BANKS,5732856710,2044.88,0.61,1.39,0.47,2.2,-4.77,0.1
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6591.53,1.96,0.96,0.31,1.51,10.07,0.1
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1259141760,2355.27,0.7,1.12,0.33,1.9,1.52,0.08
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",443893080,8333.16,2.47,1.07,0.34,1.68,5.72,0.05
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4182.22,1.24,0.54,0.12,1.28,-1.44,0.18
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740368050,10639.37,3.16,0.58,0.16,1.46,-3.74,0.1
46,UNIONBANK,Union Bank of India,BANKS,5051179000,7188.02,2.13,1.18,0.45,1.82,-8.05,0.08
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,5132.09,1.52,1.17,0.35,1.75,1.24,0.09
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,8952.23,2.66,1.23,0.37,1.82,1.06,0.08
49,YESBANK,Yes Bank Ltd.,BANKS,3471471240,7265.34,2.16,1.46,0.51,2.22,-1.44,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,978076130,7540.18,2.24,0.78,0.20,2.2,9.02,0.09
,,,,,337037.92,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2010 to 29-Apr-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2011 to 29-Apr-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Apr-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
