Annexure II- S&P CNX Nifty Index : November  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov. 2011,
15,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1380279240,9464,0.64,1.14,0.44,1.49,-13.51,0.08,
16,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2946087780,85199,5.8,1.11,0.55,1.97,-6.84,0.09,
17,HDFCBANK,HDFC Bank Ltd.,BANKS,4678302940,79462,5.41,1.01,0.58,1.58,-9.69,0.09,
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19083,1.3,0.47,0.06,1.86,-8.33,0.05,
19,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914526781,15814,1.08,1.45,0.49,2.97,-9.56,0.08,
20,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2160959717,40752,2.78,0.41,0.11,1.56,5.68,0.06,
21,ICICIBANK,ICICI Bank Ltd.,BANKS,11521944620,82088,5.59,1.42,0.69,2.22,-23.49,0.07,
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14633270000,12848,0.88,1.44,0.53,2.63,-17.96,0.1,
23,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871015410,125681,8.56,0.99,0.48,1.33,-9.41,0.06,
24,ITC,I T C Ltd.,CIGARETTES,7777764650,107640,7.33,0.67,0.32,1.28,-5.84,0.07,
25,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,19474,1.33,1.23,0.55,2.05,-10.52,0.09,
26,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,7014,0.48,1.83,0.53,3.1,-19.82,0.09,
27,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3694114475,17275,1.18,1.16,0.52,1.88,-8.92,0.11,
28,LT,Larsen & Toubro Ltd.,ENGINEERING,1222322194,68284,4.65,1.11,0.49,1.87,-9.98,0.08,
29,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,33314,2.27,1.07,0.40,2.33,-16.2,0.08,
30,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,12861,0.88,0.72,0.26,2.08,-13.61,0.08,
31,NTPC,NTPC Ltd.,POWER,82454644000,20750,1.41,0.78,0.37,1.47,-9.43,0.08,
32,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,35985,2.45,0.57,0.17,1.91,-3.93,0.08,
33,PNB,Punjab National Bank,BANKS,3168121570,11737,0.8,0.82,0.36,2.05,-9.65,0.08,
34,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14030,0.96,0.56,0.32,1.57,-5.48,0.08,
35,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2109998620,6649,0.45,0.7,0.20,2.43,-13.42,0.07,
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4922,0.34,1.45,0.32,2.92,-7.08,0.1,
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32745114480,131299,8.94,1.12,0.59,2.07,-11.32,0.08,
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2634702620,5497,0.37,1.31,0.28,2.59,-12.91,0.09,
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,4693,0.32,1.14,0.40,2.45,-10.52,0.1,
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,4698,0.32,1.24,0.45,2.86,-28.52,0.08,
41,SBIN,State Bank of India,BANKS,6349995950,45435,3.1,1.15,0.49,2.52,-7.55,0.05,
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,7156,0.49,1.04,0.29,2.74,-11.5,0.08,
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,5861,0.4,0.6,0.18,1.85,-19.41,0.09,
44,STER,Sterlite Industries (India) Ltd.,METALS,3361568684,13941,0.95,1.43,0.55,2.29,-22.03,0.1,
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,19746,1.35,0.66,0.22,1.9,4.17,0.1,
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383226160,30207,2.06,1.64,0.53,2.97,-12.93,0.08,
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,14848,1.01,0.63,0.24,1.72,-8.66,0.11,
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,25600,1.74,1.24,0.58,2.18,-20.22,0.06,
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,56598,3.86,1.03,0.45,1.47,-0.02,0.07,
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4915489744,19293,1.31,0.89,0.41,1.47,2.89,0.07,
,,,,,1467897,100,,0.00,,,0.08,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2010 to 30-Nov-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2011 to 30-Nov-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 30-Nov-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,,
