Annexure II- S&P CNX Nifty Index : July 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2009
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 10,899 ",0.86%,1.19 ,0.55 ,4.02 ,16.02 ,0.12
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,180,540,060"," 30,466 ",2.42%,0.41 ,0.26 ,2.83 ,8.97 ,0.09
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,128,839,380"," 84,412 ",6.70%,1.56 ,0.72 ,3.96 ,5.03 ,0.10
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 12,452 ",0.99%,1.15 ,0.56 ,3.61 ,10.73 ,0.12
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,864,150,215"," 98,747 ",7.83%,0.68 ,0.42 ,2.17 ,16.20 ,0.08
22,ITC,I T C Ltd.,CIGARETTES,"3,774,399,560"," 63,988 ",5.08%,0.50 ,0.35 ,2.46 ,30.64 ,0.11
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,172,498,964"," 88,310 ",7.01%,1.18 ,0.71 ,3.20 ,(3.92),0.11
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 16,958 ",1.35%,1.10 ,0.48 ,3.19 ,24.27 ,0.10
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 18,712 ",1.48%,0.67 ,0.40 ,2.56 ,32.32 ,0.10
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280"," 2,556 ",0.20%,0.99 ,0.40 ,3.08 ,0.83 ,0.16
27,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 18,667 ",1.48%,0.74 ,0.56 ,1.93 ,10.54 ,0.07
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 39,263 ",3.11%,0.89 ,0.59 ,3.06 ,9.06 ,0.10
29,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 9,185 ",0.73%,0.87 ,0.50 ,3.34 ,1.84 ,0.09
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 6,738 ",0.53%,0.79 ,0.50 ,2.67 ,7.31 ,0.10
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765"," 4,247 ",0.34%,0.77 ,0.24 ,2.26 ,14.38 ,0.11
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 18,590 ",1.47%,1.52 ,0.67 ,3.36 ,(4.73),0.11
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 10,116 ",0.80%,1.56 ,0.64 ,4.23 ,(1.58),0.09
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,738,214,610"," 139,162 ",11.04%,1.23 ,0.76 ,2.95 ,(3.36),0.09
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 16,959 ",1.35%,1.67 ,0.71 ,5.40 ,0.74 ,0.12
36,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"154,709,819"," 18,751 ",1.49%,1.13 ,0.50 ,3.34 ,17.98 ,0.10
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 6,136 ",0.49%,1.03 ,0.61 ,3.76 ,0.42 ,0.11
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 10,268 ",0.81%,1.31 ,0.61 ,4.04 ,15.98 ,0.11
39,SBIN,State Bank of India,BANKS,"6,348,802,220"," 46,681 ",3.70%,1.08 ,0.66 ,3.22 ,3.80 ,0.09
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 7,279 ",0.58%,0.98 ,0.44 ,3.51 ,2.10 ,0.13
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700"," 17,729 ",1.41%,1.43 ,0.59 ,3.82 ,6.23 ,0.11
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 8,829 ",0.70%,0.41 ,0.14 ,2.47 ,7.72 ,0.10
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800"," 5,709 ",0.45%,1.64 ,0.52 ,4.95 ,(3.81),0.11
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 3,426 ",0.27%,0.90 ,0.42 ,1.88 ,6.37 ,0.10
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 9,971 ",0.79%,1.20 ,0.46 ,4.45 ,44.99 ,0.12
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,217,364,760"," 19,259 ",1.53%,0.91 ,0.53 ,2.89 ,13.13 ,0.12
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270"," 22,315 ",1.77%,1.46 ,0.61 ,4.74 ,18.35 ,0.09
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 24,486 ",1.94%,0.89 ,0.46 ,4.04 ,34.91 ,0.10
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 12,125 ",0.96%,1.70 ,0.42 ,5.09 ,13.12 ,0.12
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,930,971,424"," 14,850 ",1.18%,0.92 ,0.50 ,2.19 ,29.69 ,0.10
,,,,,,,,,,,
,,,,," 1,260,547 ",100.00%,,,,,0.10
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-August-2008 to 31-July-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-July-2009 to 31-July-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 31-July-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
