Annexure II- S&P CNX Nifty Index : February 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for February 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2009
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,179,465,931"," 55,249 ",3.21%,0.43 ,0.25 ,0.98 ,(3.11),0.07
18,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,128,076,110"," 36,450 ",2.12%,1.62 ,0.76 ,3.61 ,(21.31),0.08
19,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 14,570 ",0.85%,1.07 ,0.49 ,2.81 ,0.00 ,0.15
20,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,863,207,515"," 70,506 ",4.10%,0.73 ,0.42 ,2.06 ,(5.77),0.07
21,ITC,I T C Ltd.,CIGARETTES,"3,773,052,670"," 69,066 ",4.01%,0.51 ,0.35 ,0.78 ,1.64 ,0.07
22,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,171,154,648"," 35,940 ",2.09%,1.11 ,0.66 ,2.49 ,(11.08),0.07
23,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,585,693,650"," 8,060 ",0.47%,0.93 ,0.37 ,4.18 ,3.13 ,0.11
24,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 19,568 ",1.14%,0.69 ,0.35 ,2.65 ,19.18 ,0.08
25,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280"," 13,418 ",0.78%,0.95 ,0.31 ,2.79 ,4.62 ,0.14
26,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 152,541 ",8.86%,0.84 ,0.62 ,1.55 ,(2.45),0.09
27,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 147,796 ",8.59%,0.85 ,0.55 ,2.48 ,5.50 ,0.10
28,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 10,645 ",0.62%,0.90 ,0.52 ,2.83 ,(15.73),0.08
29,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 40,784 ",2.37%,0.88 ,0.50 ,2.89 ,9.80 ,0.12
30,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765"," 6,802 ",0.40%,0.64 ,0.17 ,5.20 ,(25.04),0.10
31,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 32,085 ",1.86%,1.45 ,0.59 ,2.93 ,(8.59),0.10
32,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 8,660 ",0.50%,1.63 ,0.67 ,3.53 ,(16.25),0.08
33,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,737,980,330"," 199,251 ",11.58%,1.24 ,0.76 ,2.65 ,(4.35),0.07
34,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,277,702,620"," 11,185 ",0.65%,1.78 ,0.72 ,3.44 ,(15.76),0.08
35,RPL,Reliance Petroleum Ltd.,REFINERIES,"45,000,000,000"," 34,358 ",2.00%,1.04 ,0.64 ,2.02 ,(11.58),0.10
36,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 23,956 ",1.39%,1.05 ,0.25 ,2.17 ,(6.06),0.10
37,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 31,412 ",1.82%,1.25 ,0.55 ,3.34 ,(8.43),0.12
38,SBIN,State Bank of India,BANKS,"6,348,802,220"," 65,094 ",3.78%,1.08 ,0.62 ,2.06 ,(10.92),0.08
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 7,345 ",0.43%,0.99 ,0.41 ,3.02 ,5.57 ,0.12
40,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700"," 17,347 ",1.01%,1.31 ,0.53 ,3.22 ,(11.14),0.10
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 21,074 ",1.22%,0.26 ,0.07 ,1.73 ,(5.30),0.09
42,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800"," 6,091 ",0.35%,1.55 ,0.49 ,3.02 ,(13.97),0.12
43,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 11,524 ",0.67%,1.03 ,0.45 ,2.56 ,(10.75),0.14
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 6,718 ",0.39%,1.06 ,0.49 ,3.58 ,(0.23),0.09
45,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,214,244,430"," 16,094 ",0.94%,1.01 ,0.50 ,1.78 ,(4.72),0.10
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270"," 12,628 ",0.73%,1.37 ,0.59 ,3.93 ,(6.39),0.08
47,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"978,610,498"," 47,277 ",2.75%,0.87 ,0.44 ,2.16 ,(5.57),0.10
48,UNITECH,Unitech Ltd.,CONSTRUCTION,"3,246,750,000"," 4,586 ",0.27%,1.67 ,0.42 ,3.64 ,(12.13),0.14
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,927,760,696"," 30,376 ",1.76%,1.00 ,0.52 ,2.29 ,(10.39),0.11
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,"434,007,111"," 4,637 ",0.27%,0.81 ,0.28 ,5.52 ,(3.17),0.12
,,,,,,,,,,,
,,,,," 1,721,191 ",100.00%,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-March-2008 to 28-February-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-February-2009 to 28-February-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 27-February-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
