Annexure II- S&P CNX Nifty Index : May  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2011,
25,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,9781,0.59,1.79,0.50,2.72,-6.53,0.07,
26,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3684975720,15618,0.94,1.11,0.41,1.75,2.64,0.08,
27,LT,Larsen & Toubro Ltd.,ENGINEERING,1219222048,87884,5.27,1.14,0.50,2.06,2.93,0.07,
28,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,30990,1.86,1.19,0.41,2.08,-11.14,0.08,
29,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16274,0.98,0.84,0.27,1.2,-6.64,0.07,
30,NTPC,NTPC Ltd.,POWER,82454644000,21504,1.29,0.68,0.29,1.61,-7.71,0.07,
31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,37914,2.28,0.71,0.22,2.53,-8.69,0.07,
32,PNB,Punjab National Bank,BANKS,3153025000,14562,0.87,0.9,0.37,2.17,-7.21,0.09,
33,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14306,0.86,0.5,0.20,1.59,-3.35,0.07,
34,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2106816150,8421,0.51,0.88,0.25,2.79,20.61,0.07,
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,5937,0.36,1.19,0.21,2.47,-10.5,0.08,
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5648,0.34,1.26,0.32,1.82,-10.92,0.07,
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32735051930,160490,9.63,0.95,0.48,1.38,-3.24,0.05,
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2668203570,7937,0.48,1.17,0.23,2.17,-13.78,0.08,
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,6481,0.39,1,0.26,2.04,-9.72,0.08,
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,8235,0.49,1.08,0.38,1.51,-11.74,0.06,
41,SBIN,State Bank of India,BANKS,6349989910,59239,3.56,1.2,0.45,2.36,-18.06,0.04,
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,11306,0.68,1.16,0.29,1.98,-7.65,0.07,
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,7450,0.45,0.56,0.12,1.14,0.83,0.07,
44,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,24374,1.46,1.32,0.40,2.02,-5.64,0.07,
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,17940,1.08,0.66,0.20,2.01,2.51,0.07,
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5382722840,38423,2.31,1.33,0.40,2.65,-11.44,0.06,
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,19934,1.2,0.55,0.20,1.82,-5.57,0.08,
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,39211,2.35,1.23,0.50,1.75,-4.46,0.05,
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,58770,3.53,0.91,0.34,1.31,-0.73,0.06,
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4908818290,22625,1.36,0.84,0.31,1.26,-0.87,0.07,
,,,,,1666184,,,,,,0.06,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2010 to 31-May-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2011 to 31-May-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 31-May-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,,
