Annexure II-  CNX Nifty Jr. Index : May 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2011
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,10012,2.96,0.79,0.19,1.78,4.76,0.1
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,6672,1.97,0.5,0.13,1.34,-2.78,0.12
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7340,2.17,0.65,0.12,1.29,4.65,0.09
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7599,2.25,1.06,0.35,1.57,5.69,0.09
19,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9701,2.87,0.28,0.06,1.11,2.83,0.12
20,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270272053,4293,1.27,0.84,0.14,3.37,2.67,0.08
21,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3995,1.18,1.39,0.42,1.59,-5.7,0.12
22,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,4058,1.2,1.97,0.50,2.9,4.54,0.08
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6299,1.86,0.78,0.14,2.1,2.09,0.08
24,IDBI,IDBI Bank Ltd.,BANKS,9845180930,4619,1.37,1.46,0.56,1.83,-6.2,0.07
25,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3265,0.97,1.65,0.50,1.73,-7.03,0.08
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,4066,1.2,0.99,0.34,1.4,-2.3,0.11
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4657810950,9156,2.71,1.17,0.30,2.46,1.64,0.11
28,IOB,Indian Overseas Bank ,BANKS,6187493430,3001,0.89,1.38,0.45,1.98,-6.85,0.08
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,10347,3.06,1.68,0.53,2.06,2.96,0.06
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6952,2.06,1.62,0.40,2.36,5.27,0.07
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892540098,11118,3.29,0.83,0.25,1.75,6.59,0.07
32,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,9354,2.77,1.19,0.35,1.2,2.41,0.11
33,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2099887480,3432,1.02,0.6,0.06,2.81,0.04,0.1
34,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,7279,2.15,1,0.25,2.51,11.77,0.1
35,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419474010,3649,1.08,0.55,0.14,2.53,9.97,0.09
36,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,267215336,829,0.25,0.44,0.04,3.84,-17.13,0.09
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,2373,0.7,1.02,0.30,1.63,-12.67,0.06
38,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1423,0.42,1.9,0.49,4.38,2.25,0.1
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6978,2.06,1.38,0.40,1.98,-10.79,0.09
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261606680,9337,2.76,0.76,0.13,4.02,-9.26,0.1
41,SYNDIBANK,Syndicate Bank,BANKS,5732856710,2048,0.61,1.43,0.46,1.5,0.13,0.1
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6681,1.98,0.97,0.32,1.59,1.3,0.11
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1260553760,2420,0.72,1.08,0.29,1.77,-1.25,0.1
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",443893080,9101,2.69,1.11,0.32,1.81,9.39,0.05
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4203,1.24,0.47,0.10,1.31,0.51,0.17
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740416650,10019,2.96,0.62,0.17,1.42,-5.83,0.12
47,UNIONBANK,Union Bank of India,BANKS,5243324150,7169,2.12,1.26,0.44,2.75,-0.27,0.08
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,5502,1.63,1.08,0.29,2.07,7.2,0.11
49,YESBANK,Yes Bank Ltd.,BANKS,3478920990,7181,2.12,1.52,0.52,2.28,-1.43,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,978076130,7672,2.27,0.67,0.16,1.04,1.74,0.1
,,,,2.01E+11,338099,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2010 to 31-May-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-May-2011 to 31-May-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-May-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
