Annexure II-  CNX Nifty Jr. Index : Aug 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug 2011
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892595198,10621.7003,3.546178358,0.866873172,0.28,1.896510452,-1.319406267,0.1
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100325140,2595.0415,0.86638483,0.833707429,0.12,3.689302408,-21.08373286,0.16
33,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,SHIPPING,4006788200,6857.5172,2.289461988,1.007382568,0.26,2.614534028,5.956112853,0.15
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419571260,2984.1588,0.996296172,0.653161652,0.20,1.931138137,-14.29313071,0.14
35,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,268040676,692.7574,0.231285127,0.522820149,0.10,2.705832288,-10.85283251,0.13
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5048.6948,1.685565562,1.185902667,0.35,3.219891665,-20.96117296,0.11
37,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1217.6013,0.406510376,1.952452738,0.49,3.986912457,-17.0575693,0.11
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5724.2992,1.91112396,1.486604384,0.46,2.479972765,-16.73819742,0.12
39,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261840680,8408.3638,2.807230188,0.874939086,0.18,3.072673497,-1.163062993,0.12
40,SYNDIBANK,Syndicate Bank,BANKS,5732856710,1771.8754,0.59156124,1.449476752,0.52,2.765042851,-15.37818638,0.11
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5877.8923,1.962402805,0.906293043,0.36,1.31735828,-5.57122708,0.12
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1269877410,2381.3491,0.795041133,1.080823143,0.31,2.85336105,-16.3863651,0.11
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,8526.6538,2.846722682,1.055751401,0.29,2.020390582,-9.879518072,0.1
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3795.6372,1.267217688,0.507364007,0.11,2.010005168,-6.715176715,0.26
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740496680,10455.7449,3.490772214,0.610510197,0.18,1.763332655,3.958424401,0.14
46,UNIONBANK,Union Bank of India,BANKS,5243324150,5460.2353,1.822963151,1.195065904,0.45,2.137868272,-15.97089901,0.13
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4935.3579,1.647726718,1.060298165,0.31,2.159606552,-12.48120301,0.13
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,7913.9779,2.642173697,1.240330275,0.37,2.716775705,-12.42314824,0.15
49,YESBANK,Yes Bank Ltd.,BANKS,3481423940,6638.9942,2.216505539,1.504731224,0.53,2.828295898,-10.65507806,0.09
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,978142930,6460.9939,2.157078066,0.592779199,0.14,1.161403103,-12.30535511,0.09
,,,,,299525.27,100,,,,,0.12
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sept-2010 to 30-Aug-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2011 to 30-Aug-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Aug-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
