Annexure II- S&P CNX Nifty Index : March 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for March 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2010
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,348,995,968"," 7,604 ",0.50%,1.11 ,0.37 ,1.25 ,(2.37),0.07
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,864,729,030"," 68,753 ",4.51%,1.16 ,0.59 ,1.46 ,8.67 ,0.06
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,565,787,350"," 67,211 ",4.41%,0.78 ,0.55 ,1.29 ,13.42 ,0.06
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 17,488 ",1.15%,0.78 ,0.35 ,1.82 ,9.38 ,0.04
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,913,434,307"," 23,556 ",1.54%,1.29 ,0.46 ,2.16 ,11.44 ,0.07
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,181,441,805"," 25,071 ",1.64%,0.38 ,0.14 ,1.97 ,1.42 ,0.06
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,141,592,990"," 106,124 ",6.96%,1.41 ,0.66 ,1.34 ,9.21 ,0.06
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 10,347 ",0.68%,1.08 ,0.45 ,2.16 ,7.20 ,0.08
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,965,767,610"," 15,080 ",0.99%,1.41 ,0.55 ,1.50 ,0.85 ,0.06
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,867,676,165"," 125,945 ",8.26%,0.68 ,0.36 ,1.28 ,0.54 ,0.04
23,ITC,I T C Ltd.,CIGARETTES,"3,804,402,880"," 68,261 ",4.48%,0.61 ,0.28 ,1.30 ,13.26 ,0.06
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"931,234,082"," 27,117 ",1.78%,1.12 ,0.49 ,1.58 ,11.18 ,0.06
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"4,249,240,490"," 17,137 ",1.12%,1.66 ,0.34 ,2.24 ,13.17 ,0.07
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,203,551,440"," 98,141 ",6.43%,1.27 ,0.69 ,1.15 ,4.25 ,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"5,784,344,780"," 22,735 ",1.49%,1.27 ,0.55 ,2.17 ,7.44 ,0.08
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 18,758 ",1.23%,0.71 ,0.32 ,1.40 ,(2.88),0.06
29,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 17,944 ",1.18%,0.61 ,0.44 ,1.07 ,2.07 ,0.05
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 37,059 ",2.43%,0.83 ,0.45 ,0.91 ,(1.69),0.05
31,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 13,476 ",0.88%,0.85 ,0.48 ,1.11 ,12.40 ,0.05
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 6,150 ",0.40%,0.80 ,0.53 ,1.03 ,(0.37),0.07
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,102,616,230"," 7,213 ",0.47%,0.82 ,0.26 ,1.32 ,1.06 ,0.05
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 11,398 ",0.75%,1.39 ,0.56 ,1.27 ,7.87 ,0.07
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 8,638 ",0.57%,1.60 ,0.62 ,0.95 ,(3.87),0.05
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,865,368,610"," 181,677 ",11.91%,1.11 ,0.69 ,1.55 ,9.73 ,0.05
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 14,011 ",0.92%,1.42 ,0.61 ,1.26 ,(0.44),0.06
38,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,452 ",0.36%,1.01 ,0.49 ,1.48 ,8.22 ,0.06
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 14,792 ",0.97%,1.29 ,0.61 ,1.87 ,15.58 ,0.06
40,SBIN,State Bank of India,BANKS,"6,348,802,220"," 53,550 ",3.51%,1.16 ,0.62 ,0.84 ,5.26 ,0.04
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 11,185 ",0.73%,1.15 ,0.58 ,1.46 ,8.17 ,0.06
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,680,783,722"," 34,272 ",2.25%,1.37 ,0.53 ,1.12 ,8.69 ,0.06
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 13,468 ",0.88%,0.65 ,0.22 ,1.69 ,16.39 ,0.06
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,463,486"," 5,248 ",0.34%,1.53 ,0.42 ,2.04 ,0.00 ,0.06
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,798,384,120"," 20,574 ",1.35%,1.23 ,0.36 ,3.23 ,6.54 ,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,373,061,350"," 22,473 ",1.47%,0.76 ,0.44 ,1.79 ,13.23 ,0.06
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 38,599 ",2.53%,1.40 ,0.50 ,1.69 ,10.05 ,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 39,229 ",2.57%,0.83 ,0.38 ,1.26 ,2.47 ,0.06
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 9,873 ",0.65%,1.70 ,0.49 ,1.67 ,2.29 ,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,935,918,878"," 21,084 ",1.38%,0.76 ,0.35 ,1.38 ,4.35 ,0.07
,,,,," 1,525,162 ",100.00%,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-April-2009 to 31-March-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-March- 2010 to 31-March- 2010,,,,,,,,
,,,,,,,,
* Last day of trading was 31-March-2010,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
