Annexure II- CNX Nifty Jr. Index : November 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5218,1.01,0.64,0.10,1.99,12.24,0.09
48,UNIONBANK,Union Bank of India,BANKS,6357788360,5410,1.05,2.31,0.35,2.29,-4.59,0.08
49,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,10404,2.01,1.06,0.10,2.18,-0.79,0.08
50,YESBANK,Yes Bank Ltd.,BANKS,4166215880,23028,4.45,1.93,0.41,1.74,3.72,0.06
,,,,,517336,,,,,,
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2013 to 28-Nov-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2014 to 28-Nov-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Nov-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
