Annexure II-  CNX Nifty Jr. Index : Mar 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar. 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar. 2012
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,5165.50,1.66,1.41,0.33,3.17,-3.12,0.13
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6728.89,2.17,0.68,0.24,1.63,6.32,0.15
18,DABUR,Dabur India Ltd.,PERSONAL CARE,1742100854,5813.55,1.87,0.28,0.06,1.15,2.45,0.1
19,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6848.95,2.21,0.67,0.16,1.61,10.40,0.12
20,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7302.17,2.35,1.18,0.49,1.77,5.17,0.16
21,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3453.11,1.11,1.56,0.43,3.94,8.76,0.14
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9679.83,3.12,0.21,0.06,1.20,11.65,0.12
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270515053,4328.22,1.39,0.44,0.07,1.56,0.23,0.11
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5026.11,1.62,0.62,0.13,2.26,-3.19,0.11
25,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4190039860,2182.94,0.70,2.34,0.56,4.48,-25.10,0.11
26,IDBI,IDBI Bank Ltd.,BANKS,9845703710,3594.52,1.16,1.46,0.63,2.93,-3.15,0.1
27,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,2831.99,0.91,1.87,0.49,3.12,-4.34,0.12
28,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33077481030,7871.05,2.54,0.60,0.12,1.26,4.55,0.09
29,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3213.07,1.04,0.98,0.37,2.38,-8.15,0.14
30,IOB,Indian Overseas Bank ,BANKS,6187493430,1991.62,0.64,1.16,0.47,2.34,-7.55,0.12
31,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4671890260,11142.76,3.59,1.35,0.55,2.21,3.01,0.14
32,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7646.64,2.46,1.82,0.50,3.66,-10.78,0.09
33,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,7932.65,2.56,1.09,0.41,2.16,1.13,0.11
34,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893244112,12549.62,4.04,0.43,0.11,0.99,10.12,0.12
35,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100364950,2970.64,0.96,0.94,0.22,2.80,-6.53,0.14
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419761885,4313.57,1.39,0.67,0.16,2.00,-0.96,0.12
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,6401.49,2.06,1.68,0.47,3.42,-7.28,0.12
38,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4420.41,1.42,1.77,0.47,3.50,-2.88,0.08
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6734.08,2.17,1.74,0.56,3.82,-4.78,0.14
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,7777.80,2.51,1.01,0.24,2.04,9.73,0.15
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6086.92,1.96,0.71,0.35,1.10,-4.36,0.11
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1273930260,2672.31,0.86,0.89,0.26,2.64,20.02,0.11
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9443.62,3.04,1.03,0.27,2.71,0.07,0.11
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3411.14,1.10,0.66,0.20,1.44,-8.61,0.2
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740609820,14798.86,4.77,0.66,0.28,1.34,7.69,0.1
46,UNIONBANK,Union Bank of India,BANKS,5243324150,5308.28,1.71,1.39,0.44,2.57,1.14,0.13
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4365.50,1.41,0.87,0.22,2.42,-16.52,0.1
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,5496.57,1.77,1.25,0.26,3.47,5.84,0.1
49,YESBANK,Yes Bank Ltd.,BANKS,3526598240,8979.97,2.89,1.63,0.60,2.83,6.76,0.09
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960204325,6874.64,2.21,0.64,0.17,2.57,-0.31,0.13
,,,,,310389.56,100,,,,,0.12
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2011 to 30-Mar-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2012 to 30-Mar-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Mar-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
