Annexure II- CNX Nifty Jr. Index : December 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2013
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,3928.5124,1.025416707,1.168518051,0.274387041,2.528393055,10.39776692,0.09
24,IDBI,IDBI Bank Ltd.,BANKS,13327232410,2504.5412,0.653733049,1.301301183,0.500856396,1.711543057,2.467232074,0.08
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33178235950,13457.8804,3.51276361,0.670222739,0.119952957,1.00438478,-4.873183243,0.06
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,11987.027,3.128842804,1.178075995,0.275475327,1.099780286,10.73975287,0.06
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,6604.2645,1.723839068,1.659274485,0.514560211,1.51720015,5.383321317,0.06
28,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,8720.619,2.276247981,1.011702389,0.143600093,2.021264878,8.419273035,0.08
29,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101270990,3230.5487,0.843234861,0.37330068,0.039218284,1.723401889,10.15145826,0.09
30,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6653.733,1.736751291,0.82132779,0.196313805,1.738985723,1.076270309,0.07
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420488755,6940.3047,1.811551973,0.237043486,0.028983704,1.313791223,6.443440374,0.09
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3661.5002,0.955721427,0.713774241,0.21873751,1.608523868,-7.782395164,0.07
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200399720,5792.7721,1.512024066,1.613300261,0.388639523,2.770798676,4.901036758,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4071.7574,1.062806386,1.828828917,0.567643006,2.181720459,-4.048314308,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8641.3313,2.255552378,1.768349563,0.289182887,1.586150193,-6.17105738,0.08
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,5136.6668,1.340768061,1.382125218,0.391278991,1.50546838,1.808066759,0.07
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7232.4193,1.887799459,1.443731373,0.39475459,2.249067465,-2.755124532,0.09
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,11305.3168,2.950903432,0.921614611,0.17859381,1.541337741,13.7589852,0.09
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,5904.0225,1.541062543,1.058889416,0.241927636,1.560404006,7.715422724,0.08
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5986.0588,1.562475583,1.037517223,0.272990551,0.991673294,6.465833946,0.07
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4828.0826,1.260221696,0.564621073,0.205471255,0.969791559,-1.079525009,0.09
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6439.1043,1.680729104,0.758193446,0.1866112,1.382988768,7.756883815,0.06
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2330381950,27212.171,7.10289594,0.281094282,0.02911967,1.489467228,8.264852287,0.05
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9565.0623,2.496663797,1.033016518,0.195699875,1.253964634,0.196463654,0.08
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,6232.405,1.626776642,0.815758617,0.156289489,2.224192149,18.4619988,0.08
46,UNIONBANK,Union Bank of India,BANKS,5967942090,3277.402,0.855464467,1.953389683,0.446606594,2.621445762,8.440748441,0.07
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5150.235,1.34430962,0.808547275,0.08410233,1.735996764,-2.446251813,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,20974.0198,5.474619429,0.778057422,0.133527698,1.495502258,-0.258096585,0.05
49,YESBANK,Yes Bank Ltd.,BANKS,3605310160,9931.1036,2.592207562,2.209949377,0.45662332,2.297148099,0.420453004,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960242520,15114.223,3.945100638,0.732991435,0.140247279,1.687376097,6.712962963,0.09
,,,,Total,383113.7501,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2013 to 31-Dec-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2013 to 31-Dec-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
