Annexure II-  CNX Nifty Jr. Index : June 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2011,
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3909,1.16,1.01,0.35,1.72,-3.85,0.1,
27,IOB,Indian Overseas Bank ,BANKS,6187493430,3100,0.92,1.4,0.46,1.66,3.31,0.09,
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4659608850,9435,2.8,1.19,0.32,1.46,3.01,0.1,
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,9363,2.78,1.64,0.52,1.5,-9.52,0.06,
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,7324,2.18,1.64,0.40,1.83,5.35,0.06,
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892595198,10629,3.16,0.87,0.27,1.46,-4.41,0.07,
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100020560,3184,0.95,0.64,0.07,1.84,-7.22,0.1,
33,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,7302,2.17,0.99,0.25,1.53,0.31,0.09,
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419510760,3757,1.12,0.64,0.18,1.54,2.95,0.09,
35,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,267715336,764,0.23,0.46,0.05,1.45,-8.05,0.07,
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,6377,1.89,1.06,0.31,1.97,-9.1,0.06,
37,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1585,0.47,1.91,0.46,3.42,11.37,0.09,
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6423,1.91,1.44,0.42,1.81,-7.96,0.08,
39,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261606680,8188,2.43,0.81,0.14,1.56,-12.3,0.08,
40,SYNDIBANK,Syndicate Bank,BANKS,5732856710,2058,0.61,1.44,0.48,1.44,0.51,0.08,
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6531,1.94,0.98,0.32,1.33,-2.24,0.1,
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1260553760,2582,0.77,1.05,0.28,1.56,6.71,0.08,
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,8849,2.63,1.05,0.26,2.74,-2.77,0.09,
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4052,1.2,0.49,0.10,1.97,-3.6,0.19,
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740458750,9085,2.7,0.61,0.17,1.62,-9.33,0.13,
46,UNIONBANK,Union Bank of India,BANKS,5243324150,6594,1.96,1.24,0.44,1.9,-8.02,0.09,
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,5180,1.54,1.09,0.30,2,-5.86,0.1,
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,8644,2.57,1.19,0.35,1.27,-7.59,0.08,
49,YESBANK,Yes Bank Ltd.,BANKS,3479787240,7451,2.21,1.53,0.52,1.94,3.74,0.06,
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,978076130,7549,2.24,0.64,0.14,1.8,-1.6,0.09,
,,,,"203,106,525,365",336578,100,,,,,0.09,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2010 to 30-Jun-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2010 to 30-Jun-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 30-Jun-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,,
