Annexure II- S&P CNX Nifty Index : June  2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2011
29,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,15345,0.91,0.85,0.28,1.43,-5.71,0.06
30,NTPC,NTPC Ltd.,POWER,82454644000,23888,1.41,0.72,0.30,1.5,11.08,0.06
31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,36996,2.19,0.75,0.25,1.74,-2.42,0.06
32,PNB,Punjab National Bank,BANKS,3153025000,14425,0.85,0.93,0.38,1.02,-0.94,0.07
33,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,15502,0.92,0.52,0.19,1.27,8.36,0.06
34,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2106816150,8260,0.49,0.9,0.25,1.65,-1.91,0.05
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,6348,0.38,1.15,0.22,2.73,6.93,0.07
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,6516,0.39,1.22,0.30,2.03,15.38,0.06
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32735864130,151498,8.95,0.94,0.45,1.61,-5.6,0.05
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2658202620,7435,0.44,1.08,0.19,2.11,-5.97,0.06
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,6366,0.38,0.97,0.26,1.7,-1.78,0.08
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,8054,0.48,1.06,0.36,1.83,-2.2,0.06
41,SBIN,State Bank of India,BANKS,6349989910,61990,3.66,1.25,0.45,1.63,4.64,0.04
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,11000,0.65,1.07,0.27,2.08,-2.71,0.06
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,7588,0.45,0.56,0.12,1.27,1.85,0.09
44,STER,Sterlite Industries (India) Ltd.,METALS,3361568684,23912,1.41,1.25,0.38,1.55,-1.9,0.07
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,18709,1.11,0.66,0.18,1.59,4.28,0.07
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5382725080,34877,2.06,1.3,0.37,1.63,-9.23,0.05
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,21171,1.25,0.55,0.20,1.06,6.21,0.07
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,40626,2.4,1.17,0.48,1.61,3.61,0.05
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,60144,3.55,0.97,0.36,1.93,2.34,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4909281714,21168,1.25,0.84,0.32,1.26,-6.45,0.07
,,,,,1692504,100,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2010 to 30-Jun-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2010 to 30-Jun-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Jun-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
