Annexure II- CNX Nifty Index : February 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2013
36,PNB,Punjab National Bank,BANKS,3391786830,10518,0.58,1.47,0.39,1.57,-13.34,0.05
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14766,0.81,0.67,0.21,1.87,-5.35,0.05
38,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2115034265,5834,0.32,0.75,0.14,2.33,-15.5,0.05
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32288152290,133577,7.36,1.04,0.41,1.46,-8.21,0.06
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,5672,0.31,2.01,0.5,2.65,-18.72,0.06
41,SBIN,State Bank of India,BANKS,6710452740,53644,2.96,1.52,0.51,1.63,-14.65,0.04
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,6039,0.33,1.66,0.46,1.73,-16.99,0.08
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,704066266,4490,0.25,0.94,0.3,1.29,-23.18,0.05
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,30169,1.66,0.49,0.1,1.33,11.72,0.04
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5415695852,50833,2.8,1.47,0.31,2.23,-3.51,0.06
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,15288,0.84,1.18,0.33,1.32,-6.63,0.06
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712145450,22768,1.25,1.5,0.51,1.78,-15.66,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,77315,4.26,0.52,0.08,0.99,12.86,0.04
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2741657030,18942,1.04,0.44,0.08,1.62,-1.81,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4925287010,21714,1.2,0.53,0.09,1.27,1.18,0.05
,,,,,1814313,100,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2012 to 28-Feb-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2013 to 28-Feb-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
