Annexure II- S&P CNX Nifty Index : April  2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2012
37,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2110158450,7709,0.47,0.58,0.13,1.82,7.14,0.07
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32745514610,125715,7.68,1.25,0.60,0.97,-0.73,0.06
39,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,7145,0.44,1.51,0.40,2.64,-10.14,0.08
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5548,0.34,1.46,0.51,1.98,0.48,0.08
41,SBIN,State Bank of India,BANKS,6710448380,55119,3.37,1.29,0.54,1.65,1.99,0.05
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,7347,0.45,1.33,0.39,2.12,-3.24,0.08
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,6590,0.40,0.80,0.37,1.63,1.99,0.08
44,STER,Sterlite Industries (India) Ltd.,METALS,3361572684,14889,0.91,1.64,0.59,2.18,-4.50,0.08
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,22662,1.38,0.49,0.15,1.07,5.82,0.08
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383226910,55345,3.38,1.53,0.50,1.53,15.00,0.06
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,17089,1.04,0.97,0.31,1.94,4.61,0.08
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712144500,31194,1.90,1.44,0.57,1.28,-1.72,0.06
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,63246,3.86,0.93,0.34,3.33,6.66,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4917421162,20697,1.26,0.78,0.31,2.27,-7.96,0.07
,,,,,1637645,100.00,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2011to 30-Apr-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2012 to 30-Apr-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
