Annexure II-  CNX Nifty Jr. Index : Apr 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Apr. 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr. 2012
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,3902,1.32,1.51,0.22,2.36,-10.61,0.08
49,YESBANK,Yes Bank Ltd.,BANKS,3529874240,8523,2.89,0.73,0.23,2.59,-5.18,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,958770077,6840,2.32,1.76,0.50,1.93,-0.36,0.11
,,,,,295348,100.00,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2011 to 30-Apr-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2012 to 30-Mar-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
