Annexure II- S&P CNX Nifty Index : April 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for April 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2009
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 38,974 ",1.79%,0.82 ,0.48 ,3.08 ,(3.14),0.13
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765"," 6,978 ",0.32%,0.70 ,0.19 ,3.17 ,0.18 ,0.13
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 44,335 ",2.04%,1.51 ,0.61 ,4.97 ,22.85 ,0.12
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 12,883 ",0.59%,1.59 ,0.64 ,5.39 ,48.39 ,0.11
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,737,982,330"," 284,267 ",13.05%,1.25 ,0.76 ,2.59 ,18.46 ,0.07
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,277,702,620"," 15,835 ",0.73%,1.81 ,0.74 ,5.09 ,34.85 ,0.11
36,RPL,Reliance Petroleum Ltd.,REFINERIES,"45,000,000,000"," 50,265 ",2.31%,1.03 ,0.66 ,2.47 ,17.46 ,0.10
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 29,553 ",1.36%,1.04 ,0.25 ,3.70 ,20.47 ,0.14
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 45,104 ",2.07%,1.29 ,0.58 ,4.09 ,13.22 ,0.13
39,SBIN,State Bank of India,BANKS,"6,348,802,220"," 81,176 ",3.73%,1.11 ,0.64 ,3.62 ,19.82 ,0.10
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 10,388 ",0.48%,1.01 ,0.42 ,3.87 ,14.92 ,0.16
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700"," 29,051 ",1.33%,1.36 ,0.55 ,4.81 ,14.67 ,0.12
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 26,478 ",1.22%,0.28 ,0.08 ,2.62 ,15.02 ,0.11
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800"," 9,529 ",0.44%,1.62 ,0.50 ,7.50 ,50.18 ,0.13
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 15,632 ",0.72%,1.01 ,0.46 ,2.57 ,5.82 ,0.13
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 10,969 ",0.50%,1.24 ,0.52 ,7.19 ,35.22 ,0.13
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,214,244,430"," 19,857 ",0.91%,1.03 ,0.52 ,3.24 ,16.68 ,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270"," 17,400 ",0.80%,1.45 ,0.62 ,5.77 ,15.64 ,0.11
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"978,610,498"," 61,026 ",2.80%,0.89 ,0.46 ,2.84 ,15.79 ,0.11
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,088,879,870"," 9,006 ",0.41%,1.68 ,0.40 ,8.20 ,26.22 ,0.15
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,928,023,886"," 48,437 ",2.22%,0.98 ,0.52 ,3.94 ,34.55 ,0.14
,,,,,,,,,,,
,,,,," 2,178,436 ",100.00%,,,,,0.10
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2008 to 30-April-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-April-2009 to 30-April-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 29-April-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
