Annexure II-  CNX Nifty Jr. Index : July 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2012
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4687346800,11625.83,4.01,1.33,0.55,1.02,-1.79,0.1
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7022.06,2.42,1.89,0.5,2.08,-1.71,0.06
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7893.49,2.72,1.06,0.42,1.84,-2.94,0.08
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893614648,14249.01,4.92,0.38,0.08,1.46,11.87,0.08
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101012710,2918.91,1.01,0.86,0.21,1.31,7.49,0.11
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419895305,4212.82,1.45,0.7,0.18,1.14,0.67,0.09
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4392,1.52,0.62,0.14,1.31,2.31,0.07
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,6006.06,2.07,1.76,0.52,1.66,-3.13,0.08
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3762.53,1.3,1.97,0.52,2.39,-6.82,0.06
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,3721.22,1.28,1.83,0.53,2.68,-11.65,0.1
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5011.72,1.73,1.58,0.44,2.4,-14.6,0.1
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6178.37,2.13,1.81,0.57,1.83,-1.75,0.1
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2263005680,7111.3,2.45,1.02,0.28,1.95,9.07,0.1
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5372.54,1.85,0.66,0.31,1.05,-1.64,0.09
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1275285610,2653.79,0.92,0.87,0.24,1.1,0.68,0.09
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9250.39,3.19,1.14,0.32,2.25,-0.65,0.08
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2689.71,0.93,0.71,0.21,2.09,-12.58,0.14
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740841370,16022.63,5.53,0.62,0.25,0.69,8.12,0.08
46,UNIONBANK,Union Bank of India,BANKS,5505490350,3777.48,1.3,1.39,0.44,2.11,-19.75,0.08
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4005.18,1.38,0.84,0.2,1.34,-4.77,0.09
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,7363.69,2.54,1.41,0.24,3.23,17.9,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3539559640,8936.97,3.08,1.6,0.6,1.42,7.6,0.06
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,955116027,9063.34,3.13,0.69,0.2,1.6,14.71,0.08
,,,,,289752.64,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2011 to 31-Jul-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2012 to 31-Jul-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
