Annexure II- S&P CNX Nifty Index : August 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 2009
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765"," 4,972 ",0.39%,0.78 ,0.25 ,2.82 ,17.07 ,0.09
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 17,594 ",1.38%,1.52 ,0.67 ,3.03 ,(5.57),0.09
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 9,961 ",0.78%,1.54 ,0.64 ,2.77 ,(1.53),0.07
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,738,214,610"," 142,735 ",11.18%,1.23 ,0.76 ,2.06 ,2.54 ,0.07
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 16,068 ",1.26%,1.65 ,0.71 ,2.62 ,(4.96),0.09
36,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"154,709,819"," 19,993 ",1.57%,1.15 ,0.50 ,3.16 ,6.59 ,0.08
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,888 ",0.46%,1.03 ,0.62 ,2.01 ,(4.04),0.09
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 9,527 ",0.75%,1.31 ,0.61 ,2.15 ,(7.22),0.08
39,SBIN,State Bank of India,BANKS,"6,348,802,220"," 44,910 ",3.52%,1.06 ,0.66 ,2.43 ,(3.79),0.06
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 7,816 ",0.61%,1.01 ,0.46 ,2.71 ,7.37 ,0.10
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700"," 21,526 ",1.69%,1.46 ,0.62 ,3.05 ,4.78 ,0.08
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 8,948 ",0.70%,0.41 ,0.14 ,1.38 ,1.34 ,0.08
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800"," 5,641 ",0.44%,1.65 ,0.52 ,3.50 ,(6.11),0.09
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 3,416 ",0.27%,0.88 ,0.41 ,2.20 ,(0.54),0.09
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 11,658 ",0.91%,1.21 ,0.46 ,3.87 ,16.17 ,0.08
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,217,364,760"," 21,361 ",1.67%,0.92 ,0.55 ,2.30 ,0.57 ,0.10
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270"," 23,255 ",1.82%,1.48 ,0.62 ,3.34 ,(8.24),0.08
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 25,694 ",2.01%,0.89 ,0.46 ,2.30 ,0.21 ,0.08
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 14,446 ",1.13%,1.69 ,0.41 ,4.07 ,19.15 ,0.09
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,930,971,424"," 16,749 ",1.31%,0.91 ,0.50 ,1.92 ,12.20 ,0.08
,,,,,,,,,,,
,,,,," 1,277,107 ",100.00%,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-September-2008 to 31-August-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-August-2009 to 31-August-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 31-August-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
