Annexure II-  CNX Nifty Index : November  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for November 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 2013
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714.00","19,853.40",0.983910234,0.51701812,0.155115069,-0.265549054,-5.312197483,0.06
12,COALINDIA,Coal India Ltd.,MINING,"63,163,644,000.00","17,177.35",0.851288761,0.573678081,0.137985592,-0.274543016,-5.556520229,0.07
13,DLF,DLF Ltd.,CONSTRUCTION,"3,561,976,864.00","6,784.51",0.336231923,1.757970593,0.376132014,0.043176527,0.296735905,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,"850,498,675.00","31,477.93",1.560008016,0.508302452,0.155473179,0.063998803,1.156163491,0.06
15,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000.00","15,202.60",0.753422449,0.661574067,0.187967202,-0.210662708,-4.284502262,0.09
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"918,073,130.00","16,907.11",0.837895923,0.814552975,0.366546136,-0.277085223,-5.53098524,0.09
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,396,561,394.00","28,938.21",1.434142486,0.412701585,0.063419063,-0.036382695,-0.853608436,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"3,116,420,590.00","128,365.36",6.361631612,1.294323073,0.521045662,-0.17124468,-3.654757032,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,784,687,810.00","122,266.43",6.059375813,1.249585698,0.596202141,-0.133307067,-2.864277321,0.09
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000.00","24,630.28",1.220646627,0.682885005,0.208916468,-0.053819266,-1.224499615,0.07
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"2,064,583,068.00","15,782.21",0.782147062,1.252515157,0.304487453,0.342401832,6.64928292,0.07
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,162,569,017.00","42,083.04",2.085584369,0.664068869,0.13423873,-0.117324844,-2.476018693,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,541,974,010.00","123,343.31",6.112744472,1.48938399,0.596894622,-0.212474054,-4.665685356,0.07
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,"15,161,259,910.00","13,042.88",0.646389222,1.692518893,0.468013118,-0.059100697,-1.70212766,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,"5,241,848,790.00","17,957.43",0.889948353,1.655537219,0.482814205,-0.245537215,-5.251346499,0.08
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,"2,871,180,830.00","161,933.58",8.025231846,0.459175457,0.053287749,0.071174175,1.348983353,0.05
27,ITC,I T C Ltd.,CIGARETTES,"7,926,457,990.00","176,585.54",8.751365075,0.907086724,0.377105764,-0.207659187,-4.358208955,0.06
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"934,636,588.00","9,861.88",0.488743036,1.202545407,0.240751783,0.383612766,7.629768605,0.05
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,"4,438,167,118.00","6,563.76",0.325292044,2.3425251,0.478660819,0.692371395,13.11647429,0.09
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,"3,843,350,110.00","28,756.34",1.425129408,1.226062834,0.493824313,0.039876699,0.578111502,0.08
31,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,850,151,146.00","85,087.10",4.216813499,1.442550605,0.578591849,0.378595842,7.420149944,0.06
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,"896,140,514.00","20,407.44",1.011367763,0.448967572,0.099731795,-0.180307357,-3.609640725,0.05
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"3,079,461,920.00","43,508.30",2.156218319,0.843451143,0.294689342,0.326434939,6.465056034,0.06
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,510,400,300.00","22,174.08",1.098920429,0.910054841,0.288763691,0.129207598,2.441633052,0.05
35,NMDC,NMDC Ltd.,MINING,"3,964,716,000.00","10,504.19",0.520574705,0.996328204,0.285493256,-0.207241025,-4.538904899,0.07
36,NTPC,NTPC Ltd.,POWER,"82,454,644,000.00","30,353.62",1.504288351,0.726874488,0.250488822,-0.051865898,-1.240778001,0.07
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"42,777,450,600.00","52,923.38",2.622818273,1.219783539,0.389905868,0.108633273,1.838610827,0.07
38,PNB,Punjab National Bank,BANKS,"3,534,733,960.00","8,188.11",0.405792596,1.563904212,0.464476809,0.085813605,1.010286554,0.07
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"46,297,253,530.00","13,463.31",0.667225418,0.613160114,0.176106846,-0.304562412,-6.120434353,0.05
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,115,708,910.00","6,514.32",0.322841727,1.213058513,0.123457229,0.396012297,7.862439274,0.07
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,309,814,050.00","140,218.19",6.949043233,1.066457555,0.496785048,-0.340793444,-6.723515907,0.06
42,SBIN,State Bank of India,BANKS,"6,840,339,710.00","46,904.07",2.324508697,1.140636584,0.412161712,0.090047234,1.263392236,0.05
43,SSLT,Sesa Sterlite Ltd.,MINING,"2,964,674,487.00","22,631.86",1.121607313,1.27378829,0.240587113,-0.468007925,-9.356435644,0.07
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"2,071,163,910.00","43,061.45",2.134073082,0.656366126,0.16756783,-0.302072873,-6.044678055,0.07
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"5,473,411,434.00","71,652.40",3.551006191,1.040049621,0.268392627,0.250111152,4.604486423,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,373,072,360.00","12,740.16",0.63138683,0.95203079,0.245955786,-0.15444271,-3.225806452,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"9,712,152,290.00","26,708.02",1.323616962,1.301287765,0.359429438,0.916413088,19.61779636,0.06
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,958,727,979.00","102,239.89",5.066884606,0.454451431,0.104559584,-0.254074379,-5.099311096,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,"2,742,146,890.00","19,379.55",0.960427174,0.869759823,0.283370971,-0.139769032,-3.002262501,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"4,930,413,244.00","30,747.82",1.523824745,0.253884507,0.021881689,-0.070280407,-1.444421185,0.05
,,,,,2017805.682,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 30-Nov-2012 to 29-Nov-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2013 to 29-Nov-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Nov-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
