Annexure II-  CNX Nifty Jr. Index : May 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Apr 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2013
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4663.56,1.35,0.66,0.09,1.76,-8.24,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,13326983410,2738.48,0.79,1.57,0.59,1.61,-9.63,0.07
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33148222190,10531.21,3.05,0.67,0.09,1.56,-1.28,0.07
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2587.61,0.75,1.1,0.31,1.3,-9.84,0.12
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6987.44,2.02,1.59,0.42,1.72,-2.67,0.07
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7708.24,2.23,1.33,0.37,2.28,5.03,0.06
30,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101249970,3577,1.04,0.55,0.06,3.53,30.22,0.13
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420327390,4341.71,1.26,0.55,0.08,2.66,-0.09,0.08
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4275,1.24,0.56,0.1,0.83,2.11,0.07
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200150110,6350.97,1.84,1.7,0.38,2.15,-6.06,0.07
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3678.61,1.07,2.37,0.64,2.53,-7.45,0.07
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,7057.71,2.04,2.8,0.52,3.16,9.75,0.08
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,4828.32,1.4,2.18,0.61,2.64,-3.5,0.09
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7248.81,2.1,1.79,0.41,2.42,-1.47,0.08
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268639360,13732.38,3.98,0.91,0.21,1.72,9.42,0.08
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,710989492,5301.74,1.53,1.08,0.25,2.63,9.05,0.09
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4643.43,1.34,1.26,0.34,1.76,-8.84,0.09
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5298.77,1.53,0.65,0.2,0.99,-6.84,0.07
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5846.44,1.69,1.18,0.25,2.02,-0.92,0.09
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1281190230,6519.21,1.89,0.4,0.04,1.7,1.49,0.07
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,12234.53,3.54,0.97,0.18,1.88,8.44,0.08
45,UNIONBANK,Union Bank of India,BANKS,5967942090,5530.62,1.6,2.02,0.47,2.26,-10.11,0.09
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5094.65,1.47,0.68,0.03,1.86,4.15,0.09
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,4880.06,1.41,0.98,0.2,1.82,9.81,0.07
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,22697.02,6.57,1.47,0.12,2.26,9.21,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3589334890,12991.96,3.76,1.33,0.42,1.9,-2.86,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,959102570,12280.98,3.56,0.89,0.13,1.76,-3.33,0.09
,,,,,345403.94,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jun-2012 to 31-May-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2013 to 31-May-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-May-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
