Annexure II- S&P CNX Nifty Index : June 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2010
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869125960,134453.64,8.75,0.7,0.36,0.23,1.41,0.05
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,13011286920,18253.62,1.19,1.28,0.44,0.62,1.95,0.08
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4249269266,14751.66,0.96,1.79,0.62,0.16,2.13,0.07
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,931486088,24085.83,1.57,1.13,0.40,-0.2,1.69,0.08
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3483578680,13305.97,0.87,1.3,0.53,0.09,1.6,0.08
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1205328528,95549.12,6.21,1.05,0.58,0.48,1.66,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2892172390,26729.19,1.74,1.25,0.44,0.43,1.78,0.07
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,18835.02,1.23,0.76,0.24,0.65,1.51,0.06
29,NTPC,NTPC Ltd.,POWER,82454644000,25510.97,1.66,0.58,0.34,-0.06,1.05,0.06
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,44544.11,2.9,0.64,0.20,0.58,2,0.06
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,5974.66,0.39,0.64,0.34,0.04,0.88,0.07
32,PNB,Punjab National Bank,BANKS,3153025000,13957.45,0.91,0.83,0.41,0.21,0.93,0.07
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2103341010,6991.83,0.45,0.73,0.22,0.32,1.34,0.07
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,8630.55,0.56,1.48,0.59,0.73,2.42,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,13268.37,0.86,1.21,0.31,1.5,3.77,0.08
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32867788180,184343.97,11.99,1.09,0.55,0.2,1.62,0.06
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,16843.02,1.1,1.5,0.55,0.57,2.41,0.07
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,6252.67,0.41,1.15,0.46,0.45,2.47,0.08
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,11132.95,0.72,1.2,0.52,0.25,1.31,0.07
40,SBIN,State Bank of India,BANKS,6348835090,59316.95,3.86,1.17,0.58,0.08,1.36,0.05
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,11286.66,0.73,1.34,0.52,-0.3,1.93,0.07
42,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,27372.51,1.78,1.54,0.55,0.16,2.93,0.09
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,13415.12,0.87,0.39,0.09,0.32,1.03,0.06
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3113479486,4229.41,0.28,1.33,0.32,0.15,1.67,0.08
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,38035.02,2.47,0.81,0.27,0.06,1.47,0.07
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064818640,24839.43,1.62,1.48,0.42,0.16,2.22,0.06
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,21355.34,1.39,0.79,0.35,0.09,1.44,0.06
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,8873890170,29600.39,1.93,1.68,0.59,-0.11,2.5,0.06
49,UNITECH,Unitech Ltd.,CONSTRUCTION,4877602094,9973.63,0.65,1.81,0.53,0.14,2.35,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4896962044,19261.88,1.25,0.77,0.31,-0.19,1.64,0.08
,,,Total,,1537446.59,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2009 to 30-June-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-June-2010 to 30-June-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-June-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
