Annexure II-  CNX Nifty Jr. Index : Mar 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar. 2011
39,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2261606680,10570.01,3.34,0.68,0.12,2.14,6.73,0.09
40,SYNDIBANK,Syndicate Bank,BANKS,5219682820,2147.25,0.68,1.37,0.47,1.38,7.3,0.07
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5988.32,1.89,0.95,0.30,1.52,6.38,0.09
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1259141760,2320.1,0.73,1.1,0.32,2.9,4.79,0.08
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",443900840,7882.17,2.49,1.03,0.31,1.89,14.53,0.06
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4243.13,1.34,0.56,0.12,2.26,8.93,0.19
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740356950,11053.02,3.49,0.57,0.14,1.37,21.56,0.11
46,UNIONBANK,Union Bank of India,BANKS,5051179000,7817.22,2.47,1.14,0.43,1.59,10.59,0.09
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,5069.34,1.6,1.22,0.33,2.29,9.85,0.09
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,8858.01,2.8,1.25,0.37,1.44,-7.43,0.1
49,YESBANK,Yes Bank Ltd.,BANKS,3471105090,7370.52,2.33,1.42,0.47,2.39,20.94,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,978076130,6916.26,2.19,0.8,0.21,1.38,4.08,0.09
,,,,,316528.66,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2010 to 31-Mar-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2011 to 31-Mar-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Mar-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
