Annexure II- S&P CNX Nifty Index : Mar 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 2011
29,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16697,0.95,0.78,0.25,2.57,4.47,0.06
30,NTPC,NTPC Ltd.,POWER,82454644000,24680,1.41,0.66,0.31,1.95,13.69,0.07
31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,39296,2.24,0.66,0.20,1.52,7.75,0.07
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14426,0.82,0.47,0.18,0.61,2.98,0.05
33,PNB,Punjab National Bank,BANKS,3153025000,16136,0.92,0.85,0.37,1.32,14.19,0.08
34,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2106261540,6791,0.39,0.87,0.29,2.11,2.52,0.06
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,6569,0.37,1.3,0.36,2.53,22.65,0.07
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,7140,0.41,1.21,0.22,3.04,25.54,0.08
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32897015770,177723,10.12,1.01,0.50,1.42,8.8,0.06
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2674202620,9645,0.55,1.25,0.25,2.24,13.14,0.07
39,RPOWER,Reliance Power Ltd.,POWER,28050826060,7161,0.41,1.05,0.26,2.39,18.17,0.08
40,SESAGOA,Sesa Goa Ltd.,MINING,859702559,11088,0.63,1.29,0.32,2.02,11.54,0.06
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,13314,0.76,0.54,0.12,0.36,3.98,0.04
42,SBIN,State Bank of India,BANKS,6349989910,71287,4.06,1.15,0.44,1.76,5.13,0.04
43,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,9934,0.57,1.2,0.42,1.74,11.18,0.06
44,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,24688,1.41,1.5,0.47,1.74,5.88,0.07
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,16627,0.95,0.57,0.15,2.06,4.49,0.07
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,60122,3.42,0.86,0.32,1.71,6.63,0.06
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5372697370,43641,2.49,1.47,0.46,2.15,15.29,0.06
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,21606,1.23,0.62,0.27,1.64,16.08,0.07
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9593890170,40914,2.33,1.32,0.52,1.77,2.49,0.04
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4907628198,24303,1.38,0.8,0.30,1.34,9.58,0.07
,,,,,1755468,100,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2010 to 31-Mar-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2011 to 31-Mar-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Mar-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
