Annexure II- CNX Nifty Jr. Index : July 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2013
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,6737,2.08,1.19,0.24,2.42,-14.04,0.09
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,4991,1.54,1.55,0.4,3.00,-34.96,0.07
30,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101270990,2943,0.91,0.5,0.04,2.30,7.77,0.11
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420382530,6219,1.92,0.31,0.02,1.33,9.62,0.1
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3473,1.07,0.69,0.17,1.86,-7.25,0.08
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200150110,3751,1.16,1.69,0.33,3.44,-24.98,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3865,1.19,2.09,0.49,3.31,1.86,0.07
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9260,2.86,1.99,0.23,3.90,17.76,0.08
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,5123,1.58,1.78,0.41,2.96,13,0.09
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5196,1.6,1.64,0.33,2.59,-21.05,0.1
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268639360,10647,3.28,0.8,0.14,2.37,-10.73,0.12
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,4565,1.41,0.96,0.19,2.29,-7.22,0.11
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,3445,1.06,1.22,0.3,1.90,-17.83,0.1
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4537,1.4,0.62,0.16,1.43,-8.26,0.1
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6399,1.97,0.71,0.1,1.81,18.82,0.09
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2322558600,18385,5.67,0.33,0.02,2.26,17.6,0.08
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10978,3.39,0.95,0.13,2.26,17.85,0.1
45,UNIONBANK,Union Bank of India,BANKS,5967942090,3345,1.03,1.9,0.35,4.04,-28.58,0.1
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4595,1.42,0.55,0.02,3.86,-4.72,0.1
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,4010,1.24,0.88,0.13,2.56,-6.19,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,22418,6.91,0.44,0.01,3.51,10.01,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3592933390,8647,2.67,1.55,0.38,4.04,-29.73,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,959506120,13427,4.14,0.52,0.04,2.31,4.68,0.08
,,,,Total,324279,100,,,,,0.1
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2012 to 31-Jul-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2013 to 31-Jul-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
