Annexure II-  CNX Nifty Index : July  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2013
35,NMDC,NMDC Ltd.,MINING,3964716000,7761,0.42,1.04,0.27,1.89,-7.16,0.08
36,NTPC,NTPC Ltd.,POWER,82454644000,26942,1.47,0.67,0.17,1.9,-9.08,0.07
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,51437,2.81,1.09,0.29,2.43,-12.2,0.07
38,PNB,Punjab National Bank,BANKS,3534733960,8489,0.46,1.56,0.42,2.72,-12.41,0.07
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14313,0.78,0.67,0.18,1.69,-9.16,0.06
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2115504945,4422,0.24,0.79,0.12,2.73,-7.3,0.07
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,32294318350,143163,7.83,1.23,0.45,1.63,1.1,0.06
42,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,4623,0.25,2.13,0.5,2.88,-2.21,0.08
43,SBIN,State Bank of India,BANKS,6840339710,44041,2.41,1.36,0.46,1.85,-12.56,0.05
44,SESAGOA,Sesa Goa Ltd.,MINING,869101423,4986,0.27,1.48,0.37,2.95,-10.47,0.09
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,42522,2.33,0.44,0.07,1.59,11.77,0.07
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473411434,51905,2.84,1.21,0.26,1.97,3.27,0.06
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,14110,0.77,0.97,0.27,2.02,2.03,0.08
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712152290,14381,0.79,1.37,0.43,1.92,-21.21,0.07
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,92531,5.06,0.39,0.06,1.67,19.59,0.06
50,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2741825110,18628,1.02,0.68,0.15,1.39,-2.15,0.06
,,,,,1827956,100,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2012 to 31-Jul-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2013 to 31-Jul-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
