Annexure II- S&P CNX Nifty Index : May  2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2012
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,14555,0.95,0.63,0.16,2.24,-19.80,0.09
33,NTPC,NTPC Ltd.,POWER,82454644000,18763,1.22,0.76,0.34,1.31,-9.66,0.08
34,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,44802,2.91,0.55,0.18,1.62,-6.24,0.1
35,PNB,Punjab National Bank,BANKS,3391786830,10053,0.65,0.96,0.37,2.08,-11.13,0.09
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,15028,0.98,0.60,0.30,1.17,-4.58,0.08
37,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2110562940,7941,0.52,0.56,0.13,2.07,2.97,0.08
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32710580300,118802,7.73,1.24,0.60,1.03,-5.30,0.07
39,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,6076,0.40,1.57,0.42,2.57,-14.93,0.09
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5586,0.36,1.47,0.50,2.04,0.69,0.09
41,SBIN,State Bank of India,BANKS,6710448380,53003,3.45,1.30,0.54,2.59,-3.84,0.06
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,7299,0.47,1.36,0.39,2.45,-0.66,0.08
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,5764,0.37,0.84,0.39,1.60,-12.53,0.1
44,STER,Sterlite Industries (India) Ltd.,METALS,3361572684,13204,0.86,1.65,0.60,1.89,-11.32,0.1
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,21303,1.39,0.46,0.14,1.62,-5.99,0.08
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383226960,40881,2.66,1.55,0.48,3.44,-26.39,0.07
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,15131,0.98,1.02,0.32,2.42,-11.46,0.09
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712144500,26911,1.75,1.46,0.57,1.87,-12.94,0.06
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,63423,4.13,0.92,0.32,1.44,-0.10,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4917512456,21157,1.38,0.77,0.29,1.43,1.22,0.07
,,,,,1537512,100.00,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jun-2011to 31-May-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2012 to 31-May-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-May-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
