Annexure II- S&P CNX Nifty Index : October 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for October 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 2009
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 14,082 ",1.06%,0.54 ,0.25 ,1.16 ,(6.38),0.07
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 13,241 ",1.00%,1.18 ,0.52 ,3.65 ,(5.58),0.09
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,180,898,100"," 29,650 ",2.24%,0.35 ,0.18 ,1.78 ,7.96 ,0.08
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,131,154,260"," 88,025 ",6.66%,1.49 ,0.69 ,2.61 ,(12.87),0.08
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 8,209 ",0.62%,1.18 ,0.58 ,2.87 ,(30.83),0.10
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,954,991,130"," 13,641 ",1.03%,1.35 ,0.52 ,2.00 ,0.96 ,0.09
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,866,558,465"," 105,630 ",7.99%,0.67 ,0.38 ,1.45 ,(4.34),0.07
23,ITC,I T C Ltd.,CIGARETTES,"3,779,683,560"," 65,527 ",4.96%,0.54 ,0.31 ,2.14 ,9.33 ,0.08
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"930,781,836"," 24,634 ",1.86%,1.14 ,0.50 ,3.03 ,9.28 ,0.09
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"2,804,102,740"," 14,709 ",1.11%,1.71 ,0.59 ,3.10 ,(11.49),0.08
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,175,258,500"," 92,140 ",6.97%,1.25 ,0.72 ,1.51 ,(7.17),0.07
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 18,262 ",1.38%,1.07 ,0.44 ,2.53 ,4.39 ,0.08
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 18,564 ",1.40%,0.66 ,0.31 ,2.06 ,(17.52),0.07
29,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 18,390 ",1.39%,0.67 ,0.46 ,1.27 ,(0.63),0.07
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 38,176 ",2.89%,0.89 ,0.53 ,1.65 ,(3.43),0.07
31,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 11,352 ",0.86%,0.90 ,0.48 ,1.81 ,6.96 ,0.08
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 5,989 ",0.45%,0.72 ,0.42 ,1.11 ,(5.09),0.07
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,859,565"," 5,921 ",0.45%,0.82 ,0.25 ,2.42 ,(3.25),0.07
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 11,882 ",0.90%,1.51 ,0.62 ,3.55 ,(43.16),0.08
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 8,533 ",0.65%,1.65 ,0.64 ,2.72 ,(18.63),0.06
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,738,694,060"," 137,471 ",10.40%,1.23 ,0.72 ,1.89 ,(12.29),0.06
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 14,814 ",1.12%,1.65 ,0.67 ,3.00 ,(13.50),0.09
38,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,051 ",0.38%,1.08 ,0.59 ,1.69 ,(17.52),0.08
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 9,638 ",0.73%,1.52 ,0.69 ,2.49 ,(3.72),0.08
40,SBIN,State Bank of India,BANKS,"6,348,802,220"," 56,457 ",4.27%,1.16 ,0.67 ,2.89 ,(0.18),0.06
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 7,786 ",0.59%,1.05 ,0.42 ,2.33 ,(7.53),0.10
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,680,783,722"," 24,798 ",1.88%,1.42 ,0.56 ,3.36 ,(0.72),0.07
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 10,361 ",0.78%,0.46 ,0.14 ,1.67 ,(2.06),0.09
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,447,486"," 4,181 ",0.32%,1.51 ,0.45 ,2.69 ,(27.02),0.07
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,798,380,830"," 14,401 ",1.09%,1.26 ,0.42 ,3.05 ,(4.04),0.08
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,370,932,210"," 21,874 ",1.65%,0.85 ,0.50 ,1.93 ,1.58 ,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 28,809 ",2.18%,1.45 ,0.55 ,3.03 ,(7.44),0.07
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 30,630 ",2.32%,0.82 ,0.40 ,2.12 ,1.18 ,0.07
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 11,068 ",0.84%,1.62 ,0.44 ,3.61 ,(23.42),0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,932,237,354"," 18,458 ",1.40%,0.80 ,0.40 ,2.18 ,0.63 ,0.08
,,,,," 1,322,328 ",100.00%,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-November-2008 to 31-October-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-October-2009 to 31-October-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 30-October-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
