Annexure II-  CNX Nifty Index : October  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for October 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 2013
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,"5,241,158,620.00","18,911.48",0.92,1.66,0.69,2.84,20.84,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,"2,871,180,830.00","159,587.19",7.78,0.46,0.23,1.36,9.85,0.03
27,ITC,I T C Ltd.,CIGARETTES,"7,916,414,660.00","184,212.62",8.98,0.89,0.6,1.45,-1.59,0.06
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"934,845,568.00","9,164.95",0.45,1.2,0.48,1.6,1.85,0.07
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,"4,438,167,118.00","5,802.57",0.28,2.3,0.69,3.38,36.53,0.09
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,"3,840,325,770.00","28,530.82",1.39,1.23,0.69,1.71,10.96,0.07
31,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,850,151,146.00","79,198.91",3.86,1.43,0.75,2.31,23.45,0.06
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,"895,970,090.00","21,155.98",1.03,0.48,0.33,1.44,3.74,0.05
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"3,079,461,920.00","40,817.66",1.99,0.86,0.55,1.49,7.3,0.06
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,510,400,300.00","21,645.57",1.06,0.9,0.52,2.14,20.44,0.05
35,NMDC,NMDC Ltd.,MINING,"3,964,716,000.00","11,003.63",0.54,0.98,0.52,1.84,15.57,0.06
36,NTPC,NTPC Ltd.,POWER,"82,454,644,000.00","30,734.97",1.5,0.73,0.49,1.38,1.12,0.07
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"42,777,450,600.00","51,967.89",2.53,1.19,0.61,1.05,9.65,0.07
38,PNB,Punjab National Bank,BANKS,"3,534,733,960.00","8,106.21",0.4,1.54,0.68,2.61,17.98,0.07
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"46,297,253,530.00","14,341.05",0.7,0.61,0.41,1.2,3.31,0.06
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,115,647,545.00","6,038.58",0.29,1.25,0.36,2.46,18.41,0.07
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,306,443,630.00","150,255.28",7.33,1.06,0.7,1.19,11.22,0.06
42,SBIN,State Bank of India,BANKS,"6,840,339,710.00","46,318.88",2.26,1.12,0.64,1.78,11.26,0.05
43,SSLT,Sesa Sterlite Ltd.,MINING,"2,964,674,487.00","24,967.55",1.22,1.32,0.5,2.51,11.76,0.07
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"2,071,163,910.00","45,794.39",2.23,0.65,0.4,1.72,2.61,0.06
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"5,473,411,434.00","68,479.32",3.34,1.06,0.51,1.81,14.63,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,373,072,360.00","13,164.83",0.64,0.96,0.49,2.05,1.23,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"9,712,152,290.00","22,327.80",1.09,1.35,0.62,2.42,23.33,0.06
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996.00","107,645.29",5.25,0.45,0.32,2.13,9.56,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,"2,742,104,990.00","19,975.63",0.97,0.84,0.51,1.21,8.71,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"4,929,887,674.00","31,160.99",1.52,0.27,0.15,2.06,0.98,0.05
,,,,,2051119.241,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2012 to 31-Oct-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2013 to 31-Oct-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
