Annexure II- CNX Nifty Jr. Index : October 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct 2013
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6177,1.7,0.54,0.14,1.58,0.22,0.09
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5729,1.58,0.65,0.15,1.88,-3.52,0.07
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,7029,1.93,1.27,0.31,2.5,44.24,0.13
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5404,1.49,0.68,0.07,2.92,7.56,0.1
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,10160,2.79,0.05,0,1.52,-1.49,0.12
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271000753,7896,2.17,0.31,0.03,2,6.15,0.09
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,10881,2.99,0.58,0.1,1.99,4.08,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,3333,0.92,1.06,0.25,2.33,4.79,0.08
24,IDBI,IDBI Bank Ltd.,BANKS,13327225110,2554,0.7,1.31,0.47,2.1,15.91,0.09
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33167165750,13906,3.82,0.68,0.11,2.24,2.67,0.07
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,10238,2.82,1.25,0.29,2.58,18.06,0.07
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,6764,1.86,1.66,0.51,2.56,19.47,0.07
28,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7680,2.11,1.01,0.13,3.01,9.63,0.08
29,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101270990,3109,0.85,0.37,0.04,2.12,-3.5,0.1
30,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6456,1.78,0.81,0.18,2.07,8.33,0.08
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420394330,6740,1.85,0.26,0.03,1.62,4.28,0.1
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3728,1.03,0.7,0.21,1.68,4.68,0.08
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200368310,4663,1.28,1.57,0.39,2.76,2.67,0.07
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4169,1.15,1.83,0.55,2.71,17.4,0.07
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9744,2.68,1.81,0.28,3.76,0.03,0.07
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,5133,1.41,1.42,0.39,2.5,8.45,0.08
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6369,1.75,1.47,0.39,2.57,3.3,0.09
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,10294,2.83,0.88,0.17,2.37,6.53,0.11
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,5183,1.43,0.96,0.21,2.28,21.89,0.1
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5098,1.4,1.08,0.27,2.27,23.52,0.08
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4705,1.29,0.61,0.2,1.49,12.61,0.07
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6572,1.81,0.72,0.15,2.04,14.01,0.07
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2323369760,22889,6.3,0.28,0.03,1.8,16.12,0.06
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,11136,3.06,1.09,0.19,2.73,15.12,0.08
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,5967942090,5179,1.42,0.81,0.15,2.33,13.57,0.08
46,UNIONBANK,Union Bank of India,BANKS,264405149,3105,0.85,1.93,0.41,3.3,12.68,0.08
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,885208548,6159,1.69,0.84,0.07,3.59,7.52,0.09
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,22396,6.16,0.82,0.07,3.32,1.62,0.07
49,YESBANK,Yes Bank Ltd.,BANKS,3603941200,9883,2.72,2.22,0.45,3.62,28.35,0.06
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,959990800,14528,4,0.73,0.13,2.25,16.43,0.09
,,,,Total,363591,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2012 to 31-Oct-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2013 to 31-Oct-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
