Annexure II- S&P CNX Nifty Index : December 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for December 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost December 2012
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914579068,"16,785.42",0.90,1.59,0.42,1.90,11.92,0.07
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161945898,"53,874.52",2.87,0.33,0.06,1.19,-2.46,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11528567300,"131,223.92",7.00,1.66,0.69,0.96,3.49,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15141651090,"21,166.00",1.13,1.84,0.52,1.53,-1.10,0.06
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871162230,"111,795.51",5.97,0.80,0.21,0.89,-4.85,0.05
26,ITC,I T C Ltd.,CIGARETTES,7871068780,"156,405.07",8.35,0.41,0.08,1.04,-3.92,0.06
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,"17,155.86",0.92,1.59,0.37,1.72,11.12,0.07
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4266658150,"11,015.01",0.59,2.18,0.48,2.06,0.78,0.07
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3718801170,"24,311.67",1.30,1.17,0.41,0.91,-3.04,0.07
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1229847806,"86,847.92",4.63,1.64,0.58,0.97,-3.64,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,894773762,"14,586.12",0.78,0.22,0.02,1.01,3.87,0.06
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069903780,"42,698.76",2.28,0.86,0.27,1.11,-1.62,0.05
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,"19,712.11",1.05,0.71,0.13,1.10,1.10,0.05
34,NTPC,NTPC Ltd.,POWER,82454644000,"19,995.95",1.07,0.69,0.23,1.02,-3.66,0.06
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,"47,420.48",2.53,0.70,0.21,1.28,1.15,0.06
36,PNB,Punjab National Bank,BANKS,3391786830,"11,593.62",0.62,1.45,0.43,1.35,11.01,0.08
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,"16,245.16",0.87,0.64,0.24,0.85,-2.67,0.05
38,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2112369015,"7,727.57",0.41,0.57,0.10,0.99,-0.23,0.06
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32374182590,"138,458.79",7.39,1.06,0.41,1.20,5.78,0.06
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,"7,046.32",0.38,2.03,0.50,1.27,7.26,0.06
41,SBIN,State Bank of India,BANKS,6710452740,"61,496.47",3.28,1.56,0.53,1.10,9.92,0.05
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,"7,622.31",0.41,1.69,0.43,1.96,7.27,0.08
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,704066266,"6,150.05",0.33,0.95,0.33,0.73,-0.42,0.06
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,"27,686.97",1.48,0.45,0.11,1.48,3.72,0.06
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5415693652,"55,253.04",2.95,1.49,0.37,1.46,14.34,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,"17,871.56",0.95,1.22,0.33,1.50,2.37,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712145450,"28,568.09",1.52,1.54,0.50,1.37,10.95,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,"64,004.96",3.42,0.54,0.10,1.29,-4.43,0.06
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2741565100,"19,705.51",1.05,0.51,0.12,1.33,2.31,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4924701756,"20,488.33",1.09,0.61,0.14,1.21,0.32,0.05
,,,,,"1,874,152.26",100.00,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2012 to 31-Dec-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2012 to 31-Dec-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
