Annexure II- CNX Nifty Jr. Index : May 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May. 2014
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,8324,2,0.48,0.09,2.32,16.2,0.17
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6561,1.58,1.3,0.24,3.76,10.94,0.13
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,8638,2.07,0.54,0.11,2.51,16.04,0.13
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,10304,2.47,0.46,0.09,1.85,5.13,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,8111,1.95,0.34,0.06,1.5,-7.68,0.1
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6452,1.55,0.73,0.19,2.41,17.37,0.11
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,9957,2.39,1.53,0.37,2.71,28.58,0.13
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5113,1.23,0.77,0.13,1.92,5.73,0.1
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5156,1.24,0.07,0,1.09,-1.28,0.12
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271230003,7750,1.86,0.17,0.01,2.19,-8.61,0.09
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,9733,2.34,0.6,0.1,2.03,-2.39,0.11
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6633,1.59,1.21,0.26,2.85,24.48,0.11
25,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1887840920,6758,1.62,0.97,0.29,1.36,11.11,0.14
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33198213660,11150,2.68,0.72,0.12,1.9,2.34,0.08
27,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,13631,3.27,1.21,0.3,2.01,11.85,0.09
28,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,9589,2.3,1.68,0.52,2.6,21.32,0.1
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,8247,1.98,0.92,0.13,3.59,23.08,0.08
30,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101350210,3238,0.78,0.28,0.02,2.29,6.83,0.12
31,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,8038,1.93,0.94,0.25,2.49,19.44,0.1
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420720670,5970,1.43,0.23,0.04,1.74,-5.67,0.15
33,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4661,1.12,0.69,0.16,3,7.29,0.1
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,10483,2.52,1.81,0.35,5.03,58.8,0.12
35,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2119029050,6937,1.67,1.07,0.08,1.41,-5.51,0.08
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5963,1.43,1.72,0.47,4.35,49.05,0.09
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9077,2.18,1.42,0.27,2.85,11.51,0.11
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,6642,1.59,1.3,0.38,2.88,38.28,0.1
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,10847,2.6,1.52,0.38,4.04,34.38,0.14
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15892,3.82,1.07,0.19,3.37,28.91,0.11
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,7724,1.85,1.22,0.29,3.54,24.98,0.11
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,7230,1.74,1.09,0.24,3.3,29.73,0.11
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5330,1.28,0.6,0.16,2.16,6.73,0.11
44,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5984,1.44,0.67,0.17,1.72,-0.23,0.08
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,12920,3.1,0.95,0.17,2.38,21.64,0.11
46,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,9080,2.18,0.67,0.07,2.69,12.57,0.1
47,UNIONBANK,Union Bank of India,BANKS,6303062730,5179,1.24,2.04,0.4,4.87,36.32,0.11
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5024,1.21,0.81,0.1,1.11,-4.43,0.09
49,YESBANK,Yes Bank Ltd.,BANKS,3607439510,15293,3.67,2.45,0.48,3.07,29.19,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,14585,3.5,0.71,0.13,2.54,1.58,0.1
,,,,,416458,,,,,,0.11
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jun-2013 to 30-May-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2014 to 30-May-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-May-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
