CNX NIFTY JUNIOR INDEX :June 2009,,,,,,,,,,,

Sr.no.,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2009,Weightage,Beta,R2,Volatility,Monthly return,Avg. Impact Cost for June 2009
15,CORPBANK,Corporation Bank,BANKS,"1,434,400,000","2,036",1.03%,0.67,0.49,2.13,6.65,0.15
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,"396,000,000","2,699",1.37%,0.63,0.36,2.76,0.58,0.22
17,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,"842,343,885","9,670",4.89%,0.42,0.18,2.57,20.44,0.13
18,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,"847,030,170","5,013",2.54%,0.07,0.02,1.42,2.62,0.24
19,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,"250,563,158","2,602",1.32%,0.85,0.22,4.56,-3.47,0.14
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,"3,641,316,176","6,689",3.38%,1.25,0.56,4.84,-13.8,0.15
21,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,"2,754,926,760","2,479",1.25%,1.86,0.61,6.24,-17.8,0.13
22,IDBI,IDBI Bank Ltd.,BANKS,"7,247,314,180","3,769",1.91%,1.18,0.66,6.09,18.3,0.15
23,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,953,060,610","12,351",6.25%,1.5,0.64,4.5,8.99,0.15
24,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,"7,378,373,310","3,402",1.72%,1.58,0.69,5.33,11.62,0.14
25,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,"723,405,288","3,367",1.70%,0.69,0.32,4.48,1.07,0.21
26,IOB,Indian Overseas Bank ,BANKS,"5,448,000,000","1,828",0.93%,1.05,0.55,2.85,-5.1,0.12
27,HINDPETRO,Hindustan Petroleum Corporation Ltd.,STEEL AND STEEL PRODUCTS,"3,386,272,500","4,950",2.51%,0.45,0.14,2.72,-17.62,0.13
28,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"2,803,623,128","15,711",7.95%,1.8,0.72,4.7,-1.66,0.14
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,"1,870,486,820","6,281",3.18%,1.33,0.45,6.29,11.18,0.15
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,"3,462,982,720","10,416",5.27%,1.39,0.66,3.76,-6.89,0.15
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,"849,326,000","3,107",1.57%,1.11,0.5,4.33,17.21,0.13
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,"831,458,860","3,350",1.70%,0.41,0.2,2.68,-2.39,0.18
33,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,"1,001,632,560","4,642",2.35%,1.03,0.32,4.35,4.04,0.14
34,MOSERBAER,Moser Baer India Ltd.,COMPUTERS - HARDWARE,"1,683,061,040","1,252",0.63%,1.18,0.46,4.02,-3.32,0.16
35,MPHASIS,Mphasis  Ltd.,COMPUTERS - SOFTWARE,"2,092,058,400","3,172",1.61%,0.67,0.25,3.18,14.92,0.16
36,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,"17,529,023,270","1,647",0.83%,0.93,0.38,7.13,8.59,0.16
37,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,"4,006,788,200","4,548",2.30%,0.89,0.41,3.31,-1.16,0.15
38,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,"418,846,930","2,035",1.03%,0.79,0.31,3.75,7.86,0.21
39,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,"256,214,534","1,722",0.87%,0.66,0.23,5.99,19.13,0.21
40,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,"11,477,667,000","2,277",1.15%,0.83,0.52,3.31,0.21,0.16
41,RAYMOND,Raymond Ltd.,TEXTILE PRODUCTS,"613,808,530",656,0.33%,0.64,0.29,4.24,12.46,0.32
42,RNRL,Reliance Natural Resources Ltd.,GAS,"8,165,652,110","6,188",3.13%,1.48,0.59,6.78,1.27,0.14
43,SESAGOA,Sesa Goa Ltd.,MINING,"787,240,400","7,018",3.55%,0.95,0.4,4.63,10.4,0.13
44,SYNDIBANK,Syndicate Bank,BANKS,"5,219,682,820","1,254",0.63%,0.71,0.45,3.17,-9.53,0.16
45,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,"1,218,674,140","1,488",0.75%,1,0.37,8.13,54.57,0.13
46,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,"18,971,968,540","1,515",0.77%,0.84,0.38,4.87,8.79,0.15
47,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,"1,244,858,790","2,896",1.47%,0.59,0.28,3.29,-3.93,0.19
48,UNIONBANK,Union Bank of India,BANKS,"5,051,179,000","5,450",2.76%,0.75,0.44,2.86,17.95,0.14
49,VIJAYABANK,Vijaya Bank,BANKS,"4,335,178,000",914,0.46%,0.81,0.53,2.82,-1.08,0.16
50,WOCKPHARMA,Wockhardt Ltd.,PHARMACEUTICALS,"547,179,515",393,0.20%,0.67,0.28,5.51,12.74,0.18
,,,,,"197,599",100.00%,,,,,0.19

* Beta & R2 are calculated for the period 01-July-2008 to 30-June-2009,,,,,,,,,,,

* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect on the market as a whole.,,,,,,,,,,,
  ,,,,,,,,,,,
"* The coefficient of determination (R2) measures the strength of relationship between two variables, ",,,,,,,,,,,
the return on  a security versus that of the market.,,,,,,,,,,,
   ,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-June-2009 to 30-June-2009

* Last day of trading was 30 June 2009

* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 lakhs  

* Impact Cost for CNX Nifty Junior is the weightage average impact cost
