Annexure II- S&P CNX Nifty Index : June 2009,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2009
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000","12,569",1.08%,0.46,0.26,2.04,4.52,0.1
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605","9,394",0.81%,1.14,0.53,4.2,2.13,0.13
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,180,540,060","27,957",2.40%,0.4,0.27,1.57,15.9,0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,128,839,380","80,372",6.90%,1.59,0.72,2.84,-2.43,0.1
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090","11,245",0.97%,1.13,0.56,3.82,-15.27,0.13
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,864,150,215","84,978",7.30%,0.69,0.42,2.05,10.68,0.09
22,ITC,I T C Ltd.,CIGARETTES,"3,774,399,560","48,979",4.21%,0.53,0.37,2.73,3.87,0.12
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,172,498,964","91,912",7.90%,1.19,0.72,3.38,11.81,0.12
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650","13,646",1.17%,1.06,0.46,3.14,3.34,0.11
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300","14,141",1.21%,0.68,0.38,2.05,4.07,0.12
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280","2,534",0.22%,0.9,0.32,2.75,-13.57,0.15
27,NTPC,NTPC Ltd.,POWER,"82,454,644,000","16,888",1.45%,0.75,0.56,2.4,-9.45,0.09
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300","36,000",3.09%,0.89,0.61,2.8,-8.72,0.12
29,PNB,Punjab National Bank,BANKS,"3,153,025,000","9,018",0.77%,0.9,0.53,3.04,1.04,0.11
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300","6,279",0.54%,0.82,0.52,2.62,-4.83,0.11
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,848,765","3,713",0.32%,0.77,0.23,4.02,-12.21,0.12
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405","19,514",1.68%,1.52,0.66,4.18,-5.3,0.11
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000","10,278",0.88%,1.59,0.66,4.29,-4.55,0.1
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,738,214,610","144,002",12.37%,1.23,0.77,2.96,-10.94,0.08
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620","16,835",1.45%,1.68,0.72,4,-5.92,0.11
36,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"154,709,819","15,894",1.37%,1.18,0.52,3.6,19.15,0.1
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000","6,110",0.52%,1.06,0.61,3.08,-7.41,0.12
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450","8,853",0.76%,1.29,0.61,3.8,-12.48,0.12
39,SBIN,State Bank of India,BANKS,"6,348,802,220","44,972",3.86%,1.09,0.64,2.74,-6.61,0.09
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400","7,130",0.61%,1.02,0.45,3.23,-3.67,0.16
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,416,971,700","16,690",1.43%,1.38,0.56,4.15,-2.68,0.13
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955","8,196",0.70%,0.4,0.14,3.6,-10.15,0.11
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,996,590,800","5,935",0.51%,1.61,0.52,6.79,5.98,0.14
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000","3,220",0.28%,0.94,0.44,3.79,1.55,0.11
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670","6,877",0.59%,1.17,0.48,4.46,-13.69,0.12
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,217,364,760","17,025",1.46%,0.94,0.53,2.76,7.46,0.13
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,307,674,270","18,854",1.62%,1.42,0.59,4.68,-3.63,0.1
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996","18,150",1.56%,0.88,0.49,2.29,-44.67,0.12
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,088,879,870","7,942",0.68%,1.68,0.42,5,0.06,0.13
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,930,971,424","11,451",0.98%,0.92,0.5,2.13,-1.12,0.12

,,,,,"1,164,138",100.00%,,,,,0.1

* Beta & R2 are calculated for the period 01-July-2008 to 30-June-2009,,,,,,,,,,,

* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,

* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,

* Volatility is the Std. deviation of the daily returns for the period 01-June-2009 to 30-June-2009

* Last day of trading was 30-June-2009

* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  

* Impact Cost for S&P CNX Nifty is the weightage average impact cost
