Annexure II-  CNX Nifty Jr. Index : January 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan 2013
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5440.82,1.59,0.39,0.04,2.8,12.98,0.08
26,IDBI,IDBI Bank Ltd.,BANKS,12783696610,3694.7,1.08,1.59,0.59,1.47,-3.45,0.07
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33119088200,9038.97,2.65,0.66,0.11,2.46,8.82,0.07
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,3117.23,0.91,1.19,0.39,1.56,-1.98,0.1
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5220590900,17598.91,5.15,1.11,0.42,1.32,4.5,0.08
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,9244.75,2.71,1.79,0.54,1.87,8.67,0.06
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,8479.36,2.48,1.1,0.4,1.12,-3.38,0.05
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,16419.98,4.81,1.74,0.18,1.83,-4.97,0.05
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101089410,2737.47,0.8,0.49,0.08,1.74,-2.98,0.09
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420130870,5275.33,1.55,0.66,0.11,1.13,-3.03,0.07
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4552.5,1.33,0.53,0.09,1.21,-3.44,0.07
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200125140,7324.05,2.15,1.83,0.47,2.05,3.63,0.06
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,5485.64,1.61,2.1,0.53,3.83,11.91,0.08
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7915.99,2.32,1.98,0.53,2.24,-1.53,0.09
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5352.03,1.57,2.14,0.57,1.76,-0.98,0.05
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5066.64,1.48,1.93,0.5,2.1,-1.18,0.07
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5073.34,1.49,1.31,0.41,2.03,-4.47,0.08
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268549360,9663.57,2.83,0.84,0.23,1.32,4.28,0.08
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6284.94,1.84,0.7,0.26,1.53,1.09,0.08
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1277569510,5528.48,1.62,0.52,0.08,1.49,7.15,0.06
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,11642.7,3.41,1.1,0.26,1.48,-1.76,0.07
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2794.92,0.82,0.77,0.14,1.48,-13.02,0.12
46,UNIONBANK,Union Bank of India,BANKS,5505490350,5741.63,1.68,1.7,0.45,2.55,-7.03,0.08
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,4380.3,1.28,0.79,0.14,1.99,2.23,0.08
49,YESBANK,Yes Bank Ltd.,BANKS,3575596890,13833.95,4.05,1.4,0.47,1.9,12.52,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,953957720,12431.2,3.64,0.81,0.13,2.44,4.26,0.09
,,,,,341415.31,100,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2012 to 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jan-2013 to 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
