Annexure II- S&P CNX Nifty Index : January 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for January 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost January 2013
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"3,069,903,780.00","40,755.51",2.13,0.83,0.26,1.17,-4.55,0.05
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300.00","20,923.24",1.09,0.71,0.13,1.76,6.14,0.04
34,NTPC,NTPC Ltd.,POWER,"82,454,644,000.00","20,079.02",1.05,0.69,0.21,1.37,0.42,0.05
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"42,777,450,600.00","60,107.22",3.14,0.77,0.19,2.2,26.75,0.05
36,PNB,Punjab National Bank,BANKS,"3,391,786,830.00","12,136.51",0.63,1.51,0.41,2.46,4.68,0.06
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"46,297,253,530.00","15,601.02",0.81,0.63,0.22,0.96,-3.97,0.05
38,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,114,569,015.00","6,884.39",0.36,0.66,0.13,1.22,-11,0.06
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,288,152,290.00","145,837.95",7.61,1,0.38,1.26,5.61,0.05
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,629,900,000.00","6,977.97",0.36,2.04,0.5,2.25,-0.97,0.06
41,SBIN,State Bank of India,BANKS,"6,710,452,740.00","62,849.88",3.28,1.56,0.52,1.18,2.2,0.04
42,SESAGOA,Sesa Goa Ltd.,MINING,"869,101,423.00","7,275.22",0.38,1.68,0.44,1.48,-4.55,0.07
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"704,066,266.00","6,045.97",0.32,0.95,0.32,1.11,-1.69,0.05
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955.00","27,000.68",1.41,0.44,0.09,1.15,-2.48,0.06
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"5,415,693,652.00","52,664.02",2.75,1.5,0.33,2.2,-4.69,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,373,072,360.00","16,373.49",0.85,1.25,0.33,1.36,-8.38,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"9,712,145,450.00","26,994.68",1.41,1.49,0.48,1.32,-5.51,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996.00","68,505.21",3.58,0.56,0.1,1.24,7.03,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,"2,741,633,780.00","18,875.12",0.99,0.47,0.09,1.43,-4.22,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"4,924,967,314.00","21,374.97",1.12,0.52,0.09,2.28,4.32,0.05
,,,,,"1,915,430.83",100,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2012 to 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jan-2013 to 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
