Annexure II-  CNX Nifty Index : February 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2014
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,896637032,23758.98366,1.149845631,0.384150412,0.071637699,1.582687089,12.87560948,0.04
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,44870.40984,2.171559417,0.841176591,0.288258187,1.470934187,9.469782071,0.05
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,21021.1564,1.017345068,0.872342623,0.253407343,1.541841786,-2.887700535,0.04
35,NMDC,NMDC Ltd.,MINING,3964716000,10107.80159,0.489179658,0.945559261,0.267665445,1.935380625,-12.06896552,0.06
36,NTPC,NTPC Ltd.,POWER,82454644000,23169.75496,1.121329173,0.720066944,0.178133906,3.006487825,-11.11111111,0.05
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,51552.07501,2.494926932,1.216555487,0.436467341,1.532673721,5.733986572,0.06
38,PNB,Punjab National Bank,BANKS,3620699260,8222.367402,0.39793172,1.595967023,0.489443081,1.504224174,0.849237513,0.05
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,20816.04032,1.007418219,0.587454767,0.180286003,0.690002254,-1.047120419,0.04
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2118895315,5672.293219,0.274517701,1.209382788,0.112191777,1.98620675,13.12615955,0.06
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,32316660290,131516.9676,6.364927587,1.04785297,0.512046507,0.973997761,-3.753835048,0.05
42,SBIN,State Bank of India,BANKS,7465730920,47394.80634,2.293730732,1.130868913,0.429487584,1.305131232,0.616858615,0.05
43,SSLT,Sesa Sterlite Ltd.,MINING,2964674487,21958.21536,1.062695204,1.161132152,0.209070078,1.366275616,-5.705944798,0.06
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,48534.46759,2.348886059,0.60295272,0.147184952,1.212649331,9.512485137,0.05
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473425794,74932.40158,3.62644698,1.051917147,0.296681854,1.683562594,19.28193392,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,12627.98183,0.611146922,0.976217486,0.23207218,2.246452499,6.558485463,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712152290,22921.15996,1.109298108,1.276042489,0.333601453,2.655176442,-3.440528016,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,116356.0854,5.631197795,0.530824786,0.128749897,1.59282863,1.548381339,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2742345060,18686.28031,0.904345829,0.896450012,0.314678391,1.676610948,7.511544982,0.07
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4931334740,39032.23056,1.889013453,0.303415006,0.034721684,1.288342441,3.860533867,0.05
,,,,,2066275.944,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2013 to 28-Feb-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2014 to 31-Feb-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
