Annexure II- CNX Nifty Jr. Index : February 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2014
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6866,1.91,0.46,0.11,1.63,14.85,0.11
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9486,2.63,0.48,0.1,1.75,3,0.07
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,9054,2.51,0.47,0.1,1.69,8.49,0.07
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5084,1.41,0.7,0.19,1.82,7.37,0.07
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,6575,1.82,1.37,0.35,2.65,-0.52,0.09
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5049,1.4,0.73,0.1,2.68,2.5,0.11
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,12724,3.53,0.05,0,1.94,1.97,0.02
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271162453,7986,2.22,0.36,0.05,1.91,2.63,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,9791,2.72,0.57,0.1,2.13,8.43,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4383,1.22,1.12,0.27,2.48,8.33,0.08
24,IDBI,IDBI Bank Ltd.,BANKS,16038892540,2111,0.59,1.28,0.49,2.11,2.94,0.08
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33187518180,10408,2.89,0.71,0.12,2.37,-8.06,0.06
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,10097,2.8,1.17,0.27,2.6,2.74,0.07
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,6217,1.73,1.63,0.51,2.61,8.03,0.06
28,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6752,1.87,0.91,0.12,3.01,1.91,0.06
29,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101278750,2848,0.79,0.39,0.05,2.11,4.61,0.09
30,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6207,1.72,0.86,0.23,2.05,-0.95,0.06
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420585130,6560,1.82,0.2,0.02,1.51,-2.19,0.1
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3632,1.01,0.67,0.19,1.76,5.77,0.08
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200399720,5711,1.59,1.64,0.38,3.05,24.7,0.06
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3471,0.96,1.74,0.56,2.66,-2.5,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,7465,2.07,1.61,0.27,3.58,-7.19,0.07
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,4344,1.21,1.33,0.4,2.41,1.64,0.07
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6347,1.76,1.45,0.4,2.61,8.16,0.06
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,9938,2.76,0.87,0.16,2.48,-4.58,0.08
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,5518,1.53,1.08,0.24,2.53,13.04,0.08
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4602,1.28,0.98,0.26,2.22,-10.45,0.08
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4704,1.31,0.57,0.21,1.42,1.42,0.09
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5606,1.56,0.69,0.17,1.9,-0.71,0.06
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2332460360,27724,7.69,0.34,0.04,1.9,5.91,0.06
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10107,2.8,1.01,0.19,2.63,10.25,0.08
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,5755,1.6,0.76,0.14,2.34,-1.24,0.08
46,UNIONBANK,Union Bank of India,BANKS,6303062730,2586,0.72,1.91,0.45,3.27,-1.95,0.07
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5342,1.48,0.8,0.1,2.95,-2.62,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,18837,5.23,0.78,0.14,2.42,-6.44,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3606048760,8186,2.27,2.21,0.46,3.72,1.84,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960294120,14686,4.08,0.71,0.14,2.17,-0.15,0.08
,,,,Total,360329,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2013 to 28-Feb-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2014 to 31-Feb-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
