Annexure II- S&P CNX Nifty Index : January 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan. 2012
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383226910,42610,2.7,1.621942617,0.547042173,2.01,36.4,0.07
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,16814,1.06,0.813075421,0.294504649,2.02,19.08,0.1
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,29960,1.9,1.319088573,0.586925764,2.67,34.43,0.06
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,57453,3.64,0.97263717,0.437960415,1.52,-2.43,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4916223984,21174,1.34,0.871311981,0.416972979,1.7,3.81,0.07
,,,,,1579993,100,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2011 to 31-Jan-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-Jan-2012 to 31-Jan-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
