Annexure II-  CNX Nifty Jr. Index : Jan. 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan. 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan. 2012
31,IOB,Indian Overseas Bank ,BANKS,6187493430,1849.06,0.63,1.16,0.46,2.32,19.36,0.1
32,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7413.99,2.54,1.75,0.47,3.37,37.91,0.09
33,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,7560.64,2.59,1.18,0.41,2.17,13.4,0.1
34,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893196904,11255.29,3.86,0.62,0.18,1.51,6.06,0.1
35,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,5892.27,2.02,1.28,0.27,4.57,35.83,0.11
36,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100358200,2767.84,0.95,1.04,0.17,2.23,25.5,0.13
37,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419708510,3265.81,1.12,0.66,0.22,1.35,6.85,0.13
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5893.32,2.02,1.47,0.4,3.02,22.98,0.11
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6245.58,2.14,1.6,0.51,3.1,23.9,0.13
40,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4054.3,1.39,1.67,0.41,2.71,53.15,0.11
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,7722.96,2.65,0.94,0.21,2.95,38.52,0.12
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5993.86,2.06,0.78,0.36,1.5,9.21,0.1
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1273073060,2408.63,0.83,1.09,0.33,2.02,13.65,0.11
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,8401.72,2.88,1.03,0.28,1.91,18.71,0.09
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3500.41,1.2,0.68,0.18,1.85,5,0.26
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740599920,11868.9,4.07,0.68,0.27,1.49,4.14,0.12
47,UNIONBANK,Union Bank of India,BANKS,5243324150,5137.19,1.76,1.29,0.41,2.64,34.35,0.11
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,5006.59,1.72,0.99,0.27,2.6,16.31,0.12
49,YESBANK,Yes Bank Ltd.,BANKS,3519299690,8020.45,2.75,1.64,0.61,2.77,38.38,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,964105209,6989.75,2.4,0.59,0.18,1.71,8.53,0.12
,,,,,291484.4714,,,,,,0.12
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2011 to 31-Jan-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-Jan-2012 to 31-Jan-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
