Annexure II- S&P CNX Nifty Index : July  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2011,
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,22847,1.39,0.99,0.4489,1.21,-9.87,0.06,
25,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,7527,0.46,1.78,0.49,1.69,-17.73,0.07,
26,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3689051845,15763,0.96,1.2,0.4489,2.02,-7.16,0.08,
27,LT,Larsen & Toubro Ltd.,ENGINEERING,1220046436,92399,5.62,1.18,0.5329,1.68,-5.38,0.06,
28,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,33234,2.02,1.2,0.4225,1.99,2.69,0.07,
29,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,15963,0.97,0.82,0.3136,1.14,4.03,0.06,
30,NTPC,NTPC Ltd.,POWER,82454644000,22507,1.37,0.75,0.3249,1.23,-5.78,0.07,
31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,36322,2.21,0.71,0.2304,0.94,-1.82,0.07,
32,PNB,Punjab National Bank,BANKS,3168121570,14955,0.91,0.97,0.4096,1.73,3.18,0.08,
33,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14879,0.91,0.53,0.2025,0.96,-4.02,0.06,
34,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2106816150,8231,0.5,0.89,0.25,1.29,-0.35,0.06,
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,6736,0.41,1.22,0.2209,4.16,6.11,0.08,
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,6484,0.39,1.24,0.3249,1.54,-0.5,0.06,
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32738103000,139612,8.5,0.96,0.4624,1.6,-7.85,0.06,
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2653702620,7502,0.46,1.13,0.2116,2.08,1.07,0.07,
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,6149,0.37,0.98,0.2704,1.19,-3.41,0.07,
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,7400,0.45,1.06,0.3721,1.64,-8.11,0.07,
41,SBIN,State Bank of India,BANKS,6349989910,60447,3.68,1.25,0.4761,1.35,-2.49,0.04,
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,10727,0.65,1.05,0.2601,1.95,-2.48,0.06,
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,7881,0.48,0.52,0.1089,1.17,3.86,0.07,
44,STER,Sterlite Industries (India) Ltd.,METALS,3361568684,22704,1.38,1.21,0.3721,1.58,-5.05,0.06,
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,19472,1.18,0.68,0.2025,1.17,4.08,0.07,
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5382725080,33259,2.02,1.27,0.3721,1.93,-4.64,0.05,
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,20733,1.26,0.57,0.2116,1.3,-2.07,0.07,
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,37547,2.28,1.15,0.49,1.14,-7.58,0.05,
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,57746,3.51,0.95,0.3721,1.15,-3.99,0.06,
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4911272378,19741,1.2,0.83,0.3136,1.37,-6.78,0.06,
,,,,,1643348,100,,,,,0.06,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2010 to 29-Jul-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2010 to 30-Jul-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 29-Jul-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,,
