Sr. No,Security Symbol,Equity Capital (Rs.),"FF MCAP^  Jul 29, 2011 (Rs. Crores)",Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost Jul. 2011,
23,HDIL,4150039860,3442,1.05,1.91,0.7,2.31,-10.71,0.07,0.49
24,IDBI,9845532150,4420,1.35,1.41,0.75,1.34,-5.57,0.06,0.56
25,IFCI,7378373310,3048,0.93,1.64,0.73,1.77,-1.53,0.08,0.53
26,INDHOTEL,759472787,3833,1.17,1,0.59,1.36,-1.94,0.08,0.35
27,IOB,6187493430,2926,0.9,1.36,0.67,1.8,-5.62,0.08,0.45
28,INDUSINDBK,4659689850,9407,2.88,1.19,0.58,1.57,-0.29,0.09,0.34
29,JSWSTEEL,2231172000,8192,2.51,1.64,0.73,2.31,-12.5,0.07,0.53
30,LICHSGFIN,949326000,6399,1.96,1.61,0.63,1.78,-12.63,0.06,0.40
31,LUPIN,892595198,10761,3.29,0.88,0.53,1.74,1.24,0.08,0.28
32,MPHASIS,2100241140,3287,1.01,0.69,0.28,2.5,3.21,0.1,0.08
33,MUNDRAPORT,4006788200,6472,1.98,1.02,0.51,2.13,-11.36,0.11,0.26
34,OFSS,419510760,3478,1.06,0.63,0.44,1.01,-7.42,0.09,0.19
35,PATNI,268030056,766,0.23,0.44,0.23,1.46,0.15,0.08,0.05
36,PFC,13199317050,6388,1.95,1.11,0.56,3.25,0.16,0.07,0.31
37,PUNJLLOYD,664191490,1469,0.45,1.87,0.68,1.64,-7.31,0.09,0.46
38,RECLTD,9874590000,6875,2.1,1.45,0.65,2.31,7.04,0.08,0.42
39,SRTRANSFIN,2261840680,8507,2.6,0.85,0.4,2.16,3.88,0.09,0.16
40,SYNDIBANK,5732856710,2094,0.64,1.41,0.69,1.94,1.74,0.1,0.48
41,TATACHEM,2547562780,6211,1.9,0.97,0.58,1.23,-4.91,0.08,0.34
42,TECHM,1269877410,2791,0.85,1.02,0.53,1,7.29,0.07,0.28
43,TITAN,887786160,9425,2.88,1.03,0.51,1.64,6.51,0.07,0.26
44,TORNTPOWER,4724483080,4069,1.24,0.5,0.32,1.68,0.42,0.18,0.10
45,ULTRACEMCO,2740474340,10057,3.08,0.62,0.42,1.13,10.71,0.11,0.18
46,UNIONBANK,5243324150,6498,1.99,1.22,0.66,1.65,-1.45,0.08,0.44
47,UNIPHOS,923608548,5639,1.73,1.06,0.55,1.94,8.87,0.09,0.30
48,MCDOWELL-N,1307949680,9037,2.76,1.19,0.59,2.02,4.55,0.1,0.35
49,YESBANK,3481423940,7421,2.27,1.5,0.72,1.77,-0.45,0.07,0.52
50,ZEEL,978142930,7367,2.25,0.63,0.37,2.27,-2.41,0.09,0.14
,,Total,326876,,,,,,0.09,
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2010 to 29-Jul-2011,,,,,,,,,,
,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2011 to 29-Jul-2011,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 29-Jul-2011,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,
