Annexure II- CNX Nifty Jr. Index : September 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Sep. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sep 2013
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,4873,1.46,1.21,0.33,4.3,10,0.14
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5024,1.51,0.7,0.07,3.46,6.25,0.13
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,10313,3.09,0.04,0,1.87,4.75,0.17
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271000753,7439,2.23,0.33,0.03,2.09,3.01,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,10454,3.13,0.57,0.09,1.52,3.27,0.13
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,3181,0.95,1.08,0.26,2.9,12.7,0.1
24,IDBI,IDBI Bank Ltd.,BANKS,13327225110,2203,0.66,1.33,0.49,2.72,6.16,0.1
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33167165750,13544,4.06,0.68,0.11,2.68,4.96,0.1
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,8672,2.6,1.28,0.29,3.39,25.79,0.09
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,5661,1.7,1.63,0.5,3.81,11.73,0.08
28,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7005,2.1,0.98,0.13,3.07,1.96,0.09
29,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101270990,3221,0.97,0.37,0.03,1.98,4.09,0.09
30,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,5960,1.79,0.79,0.17,2.79,0.63,0.1
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420394330,6463,1.94,0.26,0.03,1.03,3.5,0.1
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3561,1.07,0.69,0.21,1.75,-2.27,0.09
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200368310,4542,1.36,1.6,0.39,2.88,16.65,0.11
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3551,1.06,1.83,0.54,3.35,0.95,0.09
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9741,2.92,1.86,0.28,3.77,16.1,0.11
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,4733,1.42,1.47,0.4,2.48,-0.37,0.1
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6165,1.85,1.49,0.38,2.85,10.21,0.1
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,9662,2.89,0.88,0.17,3.71,9.65,0.12
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,4252,1.27,0.93,0.2,3.28,9.4,0.12
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4127,1.24,1.03,0.26,2.36,7.41,0.11
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4178,1.25,0.64,0.23,1.67,-4.1,0.09
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5764,1.73,0.7,0.13,1.65,3.37,0.12
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2323369760,19712,5.91,0.24,0.02,1.41,-2.94,0.08
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9673,2.9,1.16,0.21,3.29,3.21,0.11
45,UNIONBANK,Union Bank of India,BANKS,5967942090,2756,0.83,1.94,0.42,4.97,7.16,0.11
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5728,1.72,0.91,0.07,4.1,16.84,0.12
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,4561,1.37,0.83,0.15,2.09,7.9,0.11
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,22040,6.6,0.84,0.07,2.4,13.12,0.08
49,YESBANK,Yes Bank Ltd.,BANKS,3603941200,7700,2.31,2.19,0.44,8.3,15.31,0.09
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,959990800,12478,3.74,0.74,0.12,2.43,-1.31,0.09
,,,,Total,333769,100,,,,,0.1
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2012 to 30-Sep-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2013 to 30-Sep-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Sep-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
