Annexure II- CNX Nifty Jr. Index : Dec 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2010
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6801,2.01,1.00,0.29,1.91,-10.42,0.11
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,5250,1.56,1.26,0.43,2.67,0.55,0.13
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9767,2.89,0.47,0.13,0.86,9.71,0.17
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270147603,5053,1.5,0.76,0.17,2.71,2.8,0.11
22,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916930560,16003,4.74,0.60,0.1,1.27,2.96,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6484,1.92,0.58,0.08,2.22,-5.08,0.1
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,4550,1.35,1.86,0.53,3.34,2.96,0.09
25,IDBI,IDBI Bank Ltd.,BANKS,9843662030,5663,1.68,1.42,0.53,2.62,0.95,0.08
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,4549,1.35,1.49,0.39,3.22,10.15,0.09
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803581478,4307,1.28,1.99,0.48,3.62,-9.43,0.11
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,4873,1.44,1.06,0.36,1.66,5.92,0.12
29,IOB,Indian Overseas Bank ,BANKS,5448000000,3096,0.92,1.27,0.39,2.97,-0.41,0.1
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2190534800,14185,4.2,1.75,0.52,3.54,4.36,0.09
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,5886,1.74,1.45,0.35,2.78,-2.48,0.09
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,891752350,11392,3.37,0.51,0.1,2.01,-5.67,0.09
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1468,0.43,1.16,0.42,1.86,2.44,0.13
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2099109450,4924,1.46,0.56,0.1,1.6,10.14,0.09
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6495,1.92,1.18,0.34,2.28,-5.48,0.15
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419457385,3837,1.14,0.57,0.19,1.14,12.21,0.13
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,262384444,2290,0.68,0.64,0.08,2.07,2.39,0.09
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,3640,1.08,1.01,0.31,2.4,-7.85,0.11
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2336,0.69,1.37,0.35,3.58,13.78,0.1
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,9806,2.9,1.12,0.28,2.61,-14.4,0.09
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2255382180,10323,3.06,0.75,0.12,2.76,-3.88,0.15
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,2242,0.66,1.35,0.45,2.94,-7.07,0.12
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6886,2.04,0.98,0.27,1.9,11,0.08
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1257789660,2401,0.71,1.03,0.28,2.03,9.87,0.1
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4676,1.39,0.52,0.1,1.57,-2.85,0.17
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740285470,10669,3.16,0.56,0.12,1.55,-4.69,0.11
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7814,2.31,1.05,0.35,2.62,-1.48,0.12
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,900551668,5622,1.67,1.04,0.24,2.46,-8.25,0.11
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,12149,3.6,1.11,0.34,1.7,5.32,0.09
50,YESBANK,Yes Bank Ltd.,BANKS,3458846200,7405,2.19,1.31,0.4,2.92,2.17,0.08
,,,,Total,337573,,,,,,0.11
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2010 to 31-Dec-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2010 to 31-Dec-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was31-Dec-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
