Annexure II- S&P CNX Nifty Index : Dec 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2010
39,SESAGOA,Sesa Goa Ltd.,MINING,859702559,12504,0.68,1.47,0.34,1.77,6.78,0.07
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,12399,0.68,0.88,0.29,1.43,6.55,0.08
41,SBIN,State Bank of India,BANKS,6349981150,72488,3.97,1.14,0.43,2.09,-6.03,0.05
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,10689,0.59,1.43,0.49,2.26,3.31,0.07
43,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,29618,1.62,1.63,0.5,2.34,15.75,0.08
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,18222,1,0.44,0.09,1.91,8.36,0.06
45,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3490746130,3997,0.22,1.29,0.29,3.26,14.55,0.09
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,59292,3.25,0.82,0.26,1.11,8.33,0.06
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5310730820,43759,2.39,1.48,0.41,2.16,5.94,0.06
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,22097,1.21,0.71,0.27,1.04,5.57,0.07
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9023890170,41457,2.27,1.59,0.54,1.92,16.35,0.05
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4905987100,24790,1.36,0.94,0.31,1.17,17.08,0.06
,,,,Total,1827097,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2010 to 31-Dec-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2010 to 31-Dec-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
