Annexure II- S&P CNX Nifty Index : Oct 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct. 2010
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,13815,0.78,1.64,0.52,2.41,-3.02,0.08
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,27085,1.52,1.14,0.46,1.43,-4.69,0.08
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3665123320,16883,0.95,1.24,0.44,2.1,-6.5,0.09
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1209896180,107539,6.05,0.93,0.45,1.61,-3.38,0.08
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2894243935,31296,1.76,1.18,0.39,1.72,2.51,0.08
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,20526,1.15,0.65,0.16,1.63,4.84,0.08
29,NTPC,NTPC Ltd.,POWER,82454644000,24961,1.4,0.64,0.31,1.3,-11,0.07
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,43979,2.47,0.59,0.18,0.99,-7.19,0.07
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,5762,0.32,0.51,0.18,1.39,-7.47,0.08
32,PNB,Punjab National Bank,BANKS,3153025000,17176,0.97,0.78,0.37,1.23,-1.3,0.09
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2103770785,8811,0.5,0.85,0.25,1.88,2.01,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,9193,0.52,1.28,0.43,1.94,1.69,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,11998,0.67,1.05,0.22,1.84,7.27,0.08
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32880999960,185490,10.43,1.18,0.59,1.25,8.77,0.06
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,14529,0.82,1.23,0.43,1.47,-4.35,0.08
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,5729,0.32,1.03,0.33,1.66,-3.06,0.07
39,SESAGOA,Sesa Goa Ltd.,MINING,859702559,12240,0.69,1.52,0.36,2.61,-6.8,0.08
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,12355,0.69,0.99,0.37,1.26,-2.01,0.07
41,SBIN,State Bank of India,BANKS,6349981150,81198,4.57,1,0.42,1.35,-3.71,0.05
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,11372,0.64,1.43,0.52,2.78,-13.15,0.07
43,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,26762,1.5,1.7,0.56,2.17,-3.82,0.08
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,15857,0.89,0.43,0.1,1.31,3.93,0.07
45,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3490746130,4541,0.26,1.12,0.19,2.27,1.93,0.08
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,53325,3,0.82,0.27,2.19,9.49,0.07
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064819840,36971,2.08,1.42,0.4,1.77,4.03,0.05
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,22613,1.27,0.66,0.26,1.35,0.45,0.08
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9023890170,36525,2.05,1.67,0.58,2.08,-11.74,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4902942976,21083,1.19,0.9,0.32,2.05,-9.09,0.08
,,,,Total,1778566,,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2009 to 30-Oct-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2010 to 30-Oct-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Oct-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
