Annexure II- CNX Nifty Jr. Index : Oct 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct. 2010
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,8081,2.25,1.01,0.29,2.1,18.37,0.11
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,6120,1.7,1.26,0.42,1.35,-6.55,0.1
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9287,2.58,0.38,0.08,1.11,-1.27,0.13
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270017853,4722,1.31,0.81,0.18,2.69,8.66,0.12
22,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916835710,15303,4.26,0.54,0.08,1.3,0.38,0.09
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,8067,2.25,0.51,0.06,1.22,-5.24,0.1
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,5326,1.48,1.95,0.56,1.97,-8.57,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,9843662030,8415,2.34,1.4,0.5,1.94,13.98,0.09
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,4375,1.22,1.43,0.35,3.01,4.06,0.09
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803581478,5991,1.67,1.89,0.42,2.97,8.29,0.11
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,5049,1.41,1.08,0.32,1.35,-1.91,0.09
29,IOB,Indian Overseas Bank ,BANKS,5448000000,3375,0.94,1.05,0.29,2.19,17.33,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,13808,3.84,1.95,0.55,2.01,-2.08,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,8076,2.25,1.29,0.35,1.98,-7.39,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,891145240,10328,2.87,0.46,0.09,1.72,10.29,0.1
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1625,0.45,1.08,0.36,1.6,3.57,0.1
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2098755010,4262,1.19,0.68,0.13,1.38,-3.32,0.08
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6849,1.91,1.14,0.31,2.72,-9.07,0.13
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419418885,3623,1.01,0.79,0.24,1.8,-3.81,0.12
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,261893968,2187,0.61,0.8,0.12,1.85,8.62,0.08
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,4223,1.18,0.84,0.22,1.96,1.62,0.12
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2444,0.68,1.19,0.31,2.23,-10.72,0.09
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,12152,3.38,0.95,0.23,2.63,1.69,0.09
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2255382180,11648,3.24,0.54,0.06,1.98,11.15,0.1
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,2429,0.68,1.35,0.44,2.28,15.33,0.1
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7149,1.99,1,0.26,2.44,-2.81,0.09
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1246404960,2382,0.66,1.07,0.26,1.63,-4.98,0.09
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4928,1.37,0.83,0.2,1.25,-12.65,0.12
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740214680,10823,3.01,0.65,0.15,1.13,0.94,0.11
47,UNIONBANK,Union Bank of India,BANKS,5051179000,8508,2.37,0.96,0.29,2.17,-3.9,0.1
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,881915726,6338,1.76,1.11,0.24,2.95,9.45,0.11
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,12785,3.56,1.28,0.36,2.47,-6.51,0.09
50,YESBANK,Yes Bank Ltd.,BANKS,3437729700,8411,2.34,1.39,0.41,1.83,0.7,0.08
,,,,Total,359319,,,,,,0.1
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2009 to 30-Oct-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2010 to 30-Oct-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Oct-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
