Annexure II- S&P CNX Nifty Junior Index : Nov 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov 2010
14,CORPBANK,Corporation Bank,BANKS,1434400000,1861,0.55,0.86,0.23,1.7,-4.99,0.13
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,12697,3.73,0.88,0.21,1.69,5.38,0.16
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,7715,2.27,0.49,0.10,1.17,0.08,0.13
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7407,2.18,0.69,0.14,1.83,4.16,0.15
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7592,2.23,0.95,0.26,2.56,-6.05,0.14
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,5222,1.53,1.21,0.39,2.28,-14.67,0.13
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8903,2.62,0.45,0.11,1.62,-4.13,0.2
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270084403,4915,1.44,0.74,0.16,2.2,4.03,0.13
22,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916850120,15542,4.57,0.61,0.10,2.04,1.56,0.09
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6831,2.01,0.61,0.08,2.1,-15.33,0.12
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,4419,1.3,1.90,0.56,3.37,-23.49,0.11
25,IDBI,IDBI Bank Ltd.,BANKS,9843662030,5610,1.65,1.42,0.50,2.78,-9.47,0.11
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,4130,1.21,1.45,0.36,3.78,-11.64,0.12
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803581478,4755,1.4,1.90,0.45,4.84,-19.67,0.13
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,4600,1.35,1.13,0.35,2.1,-8.89,0.13
29,IOB,Indian Overseas Bank ,BANKS,5448000000,3109,0.91,1.15,0.33,3.24,-7.88,0.13
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2190534800,13593,3.99,1.77,0.53,2.37,-15.95,0.11
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6035,1.77,1.35,0.31,5.14,-25.27,0.09
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,891542140,12074,3.55,0.40,0.06,1.57,16.69,0.1
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1433,0.42,1.12,0.37,2.42,-11.82,0.13
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2098934390,4471,1.31,0.60,0.11,2.55,0.07,0.09
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6871,2.02,1.17,0.33,2.29,0.33,0.16
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419443885,3419,1,0.60,0.17,1.43,-5.71,0.12
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,262193914,2235,0.66,0.65,0.08,2.05,0.58,0.1
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,3951,1.16,0.95,0.27,2.47,-6.46,0.14
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2053,0.6,1.22,0.31,2.98,-16.27,0.12
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,11455,3.37,1.05,0.25,3.34,-5.73,0.1
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2255382180,10739,3.15,0.72,0.10,2.71,-7.81,0.13
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,2412,0.71,1.28,0.41,3.34,-0.68,0.14
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6203,1.82,1.02,0.27,1.91,-9.12,0.12
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1257238910,2184,0.64,0.99,0.25,1.92,-12.33,0.11
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,4813,1.41,0.57,0.11,2.22,-2.33,0.17
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740235840,11194,3.29,0.61,0.13,1.44,3.43,0.08
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7931,2.33,0.96,0.30,1.73,-6.79,0.12
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,881915726,6001,1.76,1.08,0.25,1.77,-5.42,0.14
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,11535,3.39,1.21,0.35,1.74,-7.05,0.13
50,YESBANK,Yes Bank Ltd.,BANKS,3458846200,7248,2.13,1.25,0.36,2.25,-14.84,0.11
,,,,1.49E+11,,,,,,,0.13
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2009 to 30-Nov-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2010 to 30-Nov-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Nov-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
